NHK Trophy 2005,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,
Performance 0.60,4.50 6.00 5.75 6.25 5.75 5.25 6.00 6.25,5.50 5.50 - -,5.75
Choreography 0.60,5.00 5.50 5.50 6.00 5.25 5.25 6.25 6.00,5.25 5.25 - -,5.45
Interpretation / Timing 1.00,5.00 6.00 5.50 6.50 5.75 5.50 6.75 6.25,5.50 5.75 - -,5.90
Judges Total Program Component Score (factored),,,21.58
Deductions:,,,0.00
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
8 Chantal LEFEBVRE / Arseni MARKOV,CAN 42.67 21.10,21.57,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt2+FSTw3 6.5 -1.00,-1 -1 -1 -1 -1 -2 -1 0,-1 1 - -,5.50
2 SlLi4 4.0 0.20,0 0 0 0 0 0 1 1,1 1 - -,4.20
3 Sp4 4.0 0.20,0 0 1 1 1 -1 0 1,0 1 - -,4.20
4 DiSt1 4.2 -1.00,-1 -1 -1 0 -1 -1 -2 0,-1 -1 - -,3.20
5 RoLi4 4.0 0.00,0 0 1 1 0 0 0 1,0 0 - -,4.00
22.7,,,21.10
Program Components Factor,,,
Skating Skills 0.80,4.50 5.75 6.00 5.75 5.75 4.25 5.00 6.25,6.00 5.75 - -,5.60
Linking Footwork / Movement 0.80,4.50 5.50 5.75 5.75 5.75 4.50 5.25 6.00,5.75 5.50 - -,5.55
Performance 0.60,4.75 6.00 6.00 6.00 5.75 4.00 5.00 6.25,6.00 6.00 - -,5.75
Choreography 0.60,5.00 5.75 5.75 6.00 6.00 4.25 5.50 6.25,5.75 5.75 - -,5.75
Interpretation / Timing 1.00,4.75 6.00 5.75 6.00 5.75 3.75 5.25 6.25,5.75 6.00 - -,5.75
Judges Total Program Component Score (factored),,,21.57
Deductions:,,,0.00
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
9 Alexandra ZARETSKI / Roman ZARETSKI,ISR 42.44 23.50,18.94,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt2+FSTw4 7.0 0.60,0 1 0 1 0 1 1 0,-1 0 - -,7.60
2 CuLi4 4.0 0.20,0 0 0 1 0 0 1 0,0 1 - -,4.20
3 CoSp3 4.0 0.00,-1 0 0 0 0 -1 0 0,0 0 - -,4.00
4 DiSt1 4.2 -0.40,-1 -1 0 0 0 -1 0 0,0 -1 - -,3.80
5 RoLi4 4.0 -0.10,0 0 0 0 0 -1 0 1,-1 0 - -,3.90
23.2,,,23.50
Program Components Factor,,,
