ISU GP NHK Trophy 2017,,,
Composition 1.60,7.50 7.25 7.00 7.00 7.25 7.50 6.25 7.25 7.75,,7.25
Interpretation of the Music 1.60,7.75 7.00 6.75 6.75 7.00 7.25 7.00 7.25 7.50,,7.11
Judges Total Program Components Score (factored),,,56.98
Deductions: Falls:  -2.00,,,-2.00
ISU GP NHK Trophy 2017,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
7 Sumire SUTO / Francis BOUDREAU-AUDET,JPN 2 104.83 54.04 50.79,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3Tw2 5.80 -0.20,-1 0 0 -1 -1 0 0 0 0,,5.60
2 3S 4.40 0.00,0 0 0 1 0 0 0 0 0,,4.40
3 3LoTh 5.00 -1.80,-2 -3 -3 -3 -3 -2 -3 -2 -2,,3.20
4 5RLi4 7.50 -0.50,0 0 0 -2 -2 -1 0 -2 0,,7.00
5 2A<+2A<<+SEQ << 2.72 -1.43,-3 -3 -2 -3 -3 -3 -2 -3 -3,,1.29
6 ChSq1 2.00 0.50,1 1 1 1 1 1 0 0 0,,2.50
7 3STh 4.50 0.40,1 1 0 0 1 0 1 0 1,,4.90
8 BoDs3 4.00 -0.10,0 0 0 0 -1 -1 0 0 1,,3.90
9 5ALi4 8.25 0.00,0 0 0 0 0 0 0 0 1,,8.25
10 FCCoSp4 3.50 0.14,0 0 0 0 1 1 1 0 0,,3.64
11 PCoSp4 4.50 0.29,1 1 0 1 0 0 0 1 1,,4.79
12 3Li4 4.50 0.07,2 0 0 0 0 0 0 0 1,,4.57
56.67,,,54.04
Program Components Factor,,,
Skating Skills 1.60,7.00 6.50 6.25 6.25 6.50 6.50 6.50 6.00 7.25,,6.50
Transitions 1.60,6.75 6.25 6.00 6.00 6.00 6.00 6.75 5.75 6.50,,6.21
Performance 1.60,6.75 6.50 6.00 6.25 6.25 5.75 6.25 6.25 7.25,,6.32
Composition 1.60,6.75 6.25 6.25 6.25 6.50 6.25 6.75 6.50 6.75,,6.46
Interpretation of the Music 1.60,6.50 6.25 6.00 6.00 6.25 6.00 6.50 6.25 7.00,,6.25
Judges Total Program Components Score (factored),,,50.79
Deductions:,,,0.00
"<< Downgraded jump",,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
8 Miu SUZAKI / Ryuichi KIHARA,JPN 1 95.15 47.86 47.29,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3Lz<! ! 4.20 -1.40,-2 -2 -2 -3 -2 -2 -2 -2 -1,,2.80
2 3Tw1 5.40 -0.30,-1 0 -1 -1 0 -1 0 0 0,,5.10
3 5ALi2 6.50 0.10,0 0 0 0 0 1 0 0 1,,6.60
4 3LzTh 5.50 -1.70,-2 -2 -3 -3 -2 -2 -2 -3 -3,,3.80
5 FCCoSp3V 2.50 0.36,1 0 0 2 1 1 1 0 1,,2.86
6 3T+2T+2T 6.90 -0.10,0 0 0 -1 0 0 0 0 -1,,6.80
7 PCoSp2V 2.50 -0.13,-1 0 0 -1 -1 0 -1 0 0,,2.37
8 5SLi2 5.50 0.50,2 1 1 1 1 1 1 1 0,,6.00
9 3STh 4.50 -1.40,-2 -2 -2 -2 -2 -2 -1 -2 -2,,3.10
10 ChSq1 2.00 0.20,1 0 0 1 0 1 0 0 0,,2.20
11 4Li2 3.50 0.43,1 1 1 1 0 1 0 1 1,,3.93
12 BoDs1 3.00 -0.70,-1 -1 -1 -2 -1 -1 -1 -1 1,,2.30
52.00,,,47.86
Program Components Factor,,,
Skating Skills 1.60,6.25 5.75 5.75 5.75 6.00 6.75 6.50 6.25 6.50,,6.14
Transitions 1.60,5.75 5.50 5.50 6.00 5.50 6.00 5.50 5.75 5.25,,5.64
Performance 1.60,6.25 5.75 5.75 5.25 5.50 6.25 6.25 6.00 5.75,,5.89
Composition 1.60,6.00 5.50 6.00 6.00 5.75 6.50 6.00 6.25 5.50,,5.93
Interpretation of the Music 1.60,6.25 5.50 5.75 6.25 5.75 6.25 6.25 6.00 5.25,,5.96
Judges Total Program Components Score (factored),,,47.29
Deductions:,,,0.00
"< Under-rotated jump! Not clear edge",,,
