ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Skating Skills  1.60 6.75 6.50 7.00,6.25 6.50 6.75 7.50,,6.75,7.00,6.70,
Transition / Linking Footwork  1.60 6.75 6.25 6.50,6.00 6.00 6.25 7.50,,6.25,6.75,6.40,
Performance / Execution  1.60 7.00 6.25 6.75,6.75 6.75 6.50 7.75,,6.75,6.75,6.80,
Choreography / Composition  1.60 6.75 6.75 7.00,6.50 6.25 6.50 7.50,,6.75,7.00,6.75,
Interpretation  1.60 7.25 7.00 7.25,6.50 6.50 6.75 7.75,,6.50,6.75,6.80,
Judges Total Program Component Score (factored),,,,,53.52,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
3 Laura LEPISTÖ FIN  17,103.41  44.21,,,59.20,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3T+3T  8.00  1.80 2 2 2,2 2 2 1,,,2 1,9.80,
2 2Lz  1.90  0.20 0 1 0,1 0 0 1,,,1 1,2.10,
3 2Lo+2T  2.80  0.00 0 0 0,0 0 0 1,,,0 0,2.80,
4 FSSp4  3.00  0.70 2 1 1,2 0 1 2,,,2 1,3.70,
"",,,Info,,,Info
5 LSp3  2.40  1.10 2 1 1,3 2 2 3,,,2 2,3.50,
6 2A  3.85 x -1.44 -1 -2 -2,-2 -2 -1 -2,,,-2 -2,2.41,
7 3Lo< <  1.65 x -0.12 0 -1 -2,0 0 -1 -1,,,-1 0,1.53,
8 SpSq3  3.10  0.60 1 1 2,1 1 1 2,,,2 1,3.70,
9 2A  3.85 x -1.96 -2 -2 -2,-3 -2 -3 -3,,,-2 -2,1.89,
10 3S+2T  6.38 x -1.00 -1 -1 -1,-1 -1 -1 -1,,,-2 -1,5.38,
11 CiSt3  3.30  0.60 1 2 1,2 1 1 2,,,1 1,3.90,
12 CCoSp3  3.00  0.50 1 1 1,1 0 1 2,,,2 1,3.50,
43.23,,,,,44.21,
Program Components Factor,,,,,,
Skating Skills  1.60 7.25 6.75 7.00,7.25 7.00 7.25 8.00,,7.50,8.00,7.35,
Transition / Linking Footwork  1.60 7.25 6.50 7.00,7.50 6.75 7.00 7.75,,7.25,7.75,7.30,
Performance / Execution  1.60 7.50 7.00 7.00,7.00 7.00 6.75 7.75,,7.25,7.75,7.25,
Choreography / Composition  1.60 7.25 6.75 7.25,7.50 6.50 7.50 8.00,,7.50,8.00,7.50,
Interpretation  1.60 7.75 7.25 7.50,8.00 6.75 7.25 7.75,,7.75,7.75,7.60,
Judges Total Program Component Score (factored),,,,,59.20,
Deductions:,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
4 Sarah MEIER SUI  13,102.58  49.46,,,53.12,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+2T+2Lo  8.80  0.40 1 1 1,0 0 1 1,,,0 0,9.20,
2 3F e  5.50 -2.00 -2 -2 -1,-2 -2 -2 -2,,,-2 -2,3.50,
3 2A+2T  4.80  0.00 0 0 0,0 1 0 0,,,0 0,4.80,
4 CCoSp4  3.50  0.60 1 2 1,1 2 1 2,,,1 1,4.10,
5 3Lz  6.60 x -2.00 -2 -2 -1,-2 -2 -2 -2,,,-2 -1,4.60,
6 2S  1.43 x  0.00 0 0 0,0 1 0 0,,,0 0,1.43,
7 SpSq4  3.40  1.00 1 1 0,1 2 1 2,,,1 1,4.40,
8 3S+2T  6.38 x -2.00 -2 -1 -2,-2 -2 -2 -2,,,-2 -2,4.38,
9 SlSt2  2.30  0.40 0 1 1,1 2 1 2,,,0 1,2.70,
10 2A  3.85 x  0.00 0 0 0,0 0 -1 0,,,0 0,3.85,
11 FCSp3  2.80  0.60 1 2 2,1 2 0 2,,,1 1,3.40,
12 LSp3  2.40  0.70 1 2 2,1 2 1 1,,,1 2,3.10,
51.76,,,,,49.46,
Program Components Factor,,,,,,
Skating Skills  1.60 6.25 6.25 6.75,6.50 7.00 6.75 7.25,,6.50,7.50,6.60,
Transition / Linking Footwork  1.60 5.50 6.25 6.25,6.75 6.25 6.50 6.75,,6.25,7.25,6.40,
Performance / Execution  1.60 6.25 6.75 6.50,7.00 6.75 7.00 6.75,,6.50,7.75,6.80,
Choreography / Composition  1.60 5.75 6.50 6.50,6.75 6.75 6.50 7.00,,6.50,7.75,6.60,
Interpretation  1.60 6.00 7.00 7.00,7.00 6.25 7.00 7.25,,6.75,7.75,6.80,
Judges Total Program Component Score (factored),,,,,53.12,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,
ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
5 Kiira KORPI FIN  20,99.42  43.38,,,57.04,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+2T  7.30 -0.60 0 -1 -1,0 -1 0 -2,,,0 -1,6.70,
2 3S+2A+SEQ  6.40  1.00 1 1 1,1 1 1 2,,,2 1,7.40,
3 3F  5.50 -1.00 -1 -1 -1,-1 -1 -1 -2,,,-1 -1,4.50,
4 FCoSp4  3.00  0.50 1 1 2,1 1 1 0,,,2 1,3.50,
"",,,Info,,,Info
5 3Lo  5.00  0.00 0 0 0,0 0 0 0,,,0 0,5.00,
6 SpSq2  2.30  0.50 1 1 2,1 1 1 1,,,2 0,2.80,
7 2Lo  1.65 x  0.30 1 0 1,1 0 0 0,,,0 1,1.95,
8 3T< <  1.43 x -1.00 -3 -3 -3,-3 -3 -3 -3,,,-3 -3,0.43,
9 FSSp2  2.30  0.40 0 1 1,1 0 1 0,,,0 1,2.70,
10 SlSt3  3.30  0.30 0 1 2,1 1 0 1,,,1 0,3.60,
11 2A<+2T< <  1.32 x -0.42 -2 -2 -2,-2 -2 -3 -3,,,-3 -3,0.90,
12 CCoSp4  3.50  0.40 1 0 2,1 0 1 1,,,1 1,3.90,
43.00,,,,,43.38,
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 6.75 7.75,8.00 7.00 7.00 7.00,,7.25,7.00,7.25,
Transition / Linking Footwork  1.60 7.00 6.25 7.75,7.25 6.00 6.75 6.50,,6.75,7.00,6.85,
Performance / Execution  1.60 7.75 6.50 7.75,7.75 7.00 7.00 6.75,,6.75,6.75,7.25,
Choreography / Composition  1.60 7.25 7.00 8.00,7.75 6.75 7.00 7.00,,7.00,6.75,7.15,
Interpretation  1.60 7.75 6.75 7.75,7.50 6.25 6.75 7.25,,7.25,7.00,7.15,
Judges Total Program Component Score (factored),,,,,57.04,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
6 Julia SEBESTYEN HUN  14,99.33  46.61,,,52.72,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 2A  3.50  1.00 0 1 2,2 1 1 1,,,1 1,4.50,
2 2Lz  1.90  0.30 0 1 0,2 0 1 1,,,0 1,2.20,
3 3F !  5.50  0.00 -1 0 0,1 0 0 0,,,1 0,5.50,
4 2S  1.30  0.00 0 0 0,0 0 0 0,,,0 0,1.30,
5 FCSp3  2.80  0.00 0 0 1,1 0 0 0,,,0 0,2.80,
6 3Lz  6.60 x  1.40 0 1 2,2 1 1 2,,,1 2,8.00,
7 SlSt2  2.30  0.40 1 1 0,2 1 1 0,,,1 1,2.70,
8 1A+2A+SEQ  3.78 x  0.20 0 1 0,1 0 0 0,,,0 1,3.98,
9 FCoSp4  3.00  0.10 0 0 1,1 0 0 0,,,1 1,3.10,
10 SpSq3  3.10  0.40 1 1 1,2 1 0 0,,,1 1,3.50,
11 3T+2T  5.83 x  0.00 0 0 0,0 0 0 0,,,0 0,5.83,
12 CCoSp3  3.00  0.20 0 1 0,1 0 0 1,,,1 2,3.20,
42.61,,,,,46.61,
Program Components Factor,,,,,,
Skating Skills  1.60 6.25 7.50 6.75,7.25 6.75 6.75 6.00,,6.75,7.00,6.70,
Transition / Linking Footwork  1.60 5.50 7.25 6.25,7.00 6.25 6.75 5.25,,6.25,6.75,6.30,
Performance / Execution  1.60 6.50 7.50 7.00,7.25 6.50 7.25 6.00,,6.00,6.75,6.80,
Choreography / Composition  1.60 6.00 7.50 6.50,7.25 6.25 6.75 5.50,,6.25,7.00,6.50,
Interpretation  1.60 6.25 7.50 6.50,7.50 6.50 7.25 5.50,,6.75,6.75,6.65,
Judges Total Program Component Score (factored),,,,,52.72,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,
ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
7 Alena LEONOVA RUS  19,95.31  41.43,,,54.88,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3T+3T< <  5.30 -0.80 -1 -2 -2,-1 -1 0 -1,,,-1 0,4.50,
2 SpSq1  1.80  0.20 0 1 0,0 1 0 0,,,0 2,2.00,
3 3Lz< !  1.90 -1.00 -3 -3 -3,-3 -3 -3 -3,,,-3 -3,0.90,
4 2A  3.50  0.80 1 0 1,0 1 1 0,,,1 1,4.30,
"",,,Info,,,Info
5 FCoSp4  3.00  0.30 0 0 1,0 1 1 1,,,1 1,3.30,
6 3Lo  5.00 -0.60 0 -1 0,-1 0 -1 0,,,0 -1,4.40,
7 2F+2A+SEQ  4.58 x  0.00 0 0 0,0 0 0 0,,,0 1,4.58,
8 FSSp3  2.60  0.00 0 0 0,0 1 0 0,,,0 0,2.60,
9 SlSt3  3.30  0.40 1 1 0,0 1 0 1,,,1 1,3.70,
10 3S+2T<+2Lo <  7.04 x  0.00 0 -1 -1,0 0 0 0,,,1 0,7.04,
11 1F  0.55 x -0.04 0 -1 0,-1 -1 0 -1,,,0 0,0.51,
12 CCoSp4  3.50  0.10 0 0 0,0 1 1 0,,,0 0,3.60,
42.07,,,,,41.43,
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 6.50 6.50,6.25 7.50 6.75 7.00,,6.75,7.00,6.90,
Transition / Linking Footwork  1.60 7.25 6.50 6.00,5.25 7.00 5.75 6.25,,6.75,7.00,6.60,
Performance / Execution  1.60 7.50 6.75 6.50,5.75 7.25 6.25 6.50,,7.25,6.75,6.85,
Choreography / Composition  1.60 7.50 6.75 6.25,5.50 7.25 6.25 6.75,,7.25,7.50,7.00,
Interpretation  1.60 7.50 7.00 6.25,6.00 7.50 6.25 7.00,,7.25,6.75,6.95,
Judges Total Program Component Score (factored),,,,,54.88,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
8 Valentina MARCHEI ITA  15,94.12  44.68,,,51.44,-2.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz  6.00 -3.00 -3 -3 -3,-3 -3 -3 -3,,,-3 -3,3.00,
2 3S  4.50  0.00 0 1 0,1 0 0 0,,,1 0,4.50,
3 2A  3.50  0.20 1 0 0,0 1 0 0,,,0 0,3.70,
4 CCoSp4  3.50  0.10 0 0 0,0 0 0 1,,,1 1,3.60,
5 SpSq4  3.40  1.40 1 1 2,2 2 1 1,,,2 2,4.80,
6 3Lz+2T  8.03 x -1.40 -1 -2 -1,-2 -1 -2 -1,,,-1 -2,6.63,
7 3T  4.40 x  0.00 0 0 -1,-1 0 0 0,,,-1 0,4.40,
8 3S<+SEQ <  1.14 x -1.00 -3 -3 -3,-3 -3 -3 -3,,,-3 -3,0.14,
9 LSp2  1.90  0.40 1 2 1,1 1 0 0,,,1 1,2.30,
10 2Lz+2T+2T  4.95 x -0.36 -2 -1 -1,-2 -1 -2 -1,,,-1 -1,4.59,
11 FCSSp4  3.00 -0.18 -1 0 -1,0 -1 -1 0,,,0 0,2.82,
12 SlSt3  3.30  0.90 1 2 1,2 2 2 2,,,2 3,4.20,
47.62,,,,,44.68,
Program Components Factor,,,,,,
Skating Skills  1.60 5.75 5.25 6.75,7.25 6.00 6.50 6.50,,6.50,7.50,6.30,
Transition / Linking Footwork  1.60 6.00 5.00 6.50,6.75 6.00 6.00 5.75,,6.00,7.00,6.05,
Performance / Execution  1.60 6.25 5.75 7.25,7.00 6.50 6.75 6.25,,6.75,7.25,6.60,
Choreography / Composition  1.60 6.00 5.50 7.50,7.00 6.25 6.50 6.25,,6.50,7.00,6.40,
Interpretation  1.60 6.50 6.00 7.50,7.25 6.75 7.00 6.75,,6.75,7.00,6.80,
Judges Total Program Component Score (factored),,,,,51.44,
Deductions: Falls: -2.00,,,,,-2.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
9 Ksenia MAKAROVA RUS  11,92.79  45.63,,,48.16,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3T+3T< <  5.30 -1.00 -1 -1 -2,-2 -1 -1 -1,,,-1 0,4.30,
2 3F< !  1.70 -1.00 -3 -3 -3,-3 -3 -3 -3,,,-3 -3,0.70,
3 2A  3.50  0.40 0 1 1,1 1 0 0,,,0 0,3.90,
4 3Lo< <  1.50 -0.18 0 -1 -2,-1 -1 0 -1,,,0 0,1.32,
"",,,Info,,,Info
5 2A  3.50  0.60 1 1 0,1 0 0 1,,,1 1,4.10,
6 LSp3  2.40  0.90 2 1 2,2 2 1 2,,,2 2,3.30,
7 SpSq4  3.40  1.00 1 1 1,1 1 1 1,,,2 1,4.40,
8 3S+2T+2Lo  8.03 x -0.60 0 0 -1,0 -1 -1 0,,,-1 -1,7.43,
9 3S+2T  6.38 x  0.00 0 0 0,0 0 0 0,,,0 0,6.38,
10 FSSp4  3.00  0.00 0 1 0,0 -1 0 0,,,0 0,3.00,
11 SlSt2  2.30  0.50 1 1 1,1 1 1 1,,,1 1,2.80,
12 CCoSp4  3.50  0.50 1 2 0,1 0 1 1,,,2 2,4.00,
44.51,,,,,45.63,
Program Components Factor,,,,,,
Skating Skills  1.60 6.00 6.25 6.50,6.50 6.00 6.00 7.00,,6.75,5.50,6.15,
Transition / Linking Footwork  1.60 5.75 5.75 6.00,6.25 6.00 5.25 6.50,,6.00,4.75,5.75,
Performance / Execution  1.60 6.25 6.00 6.50,6.50 6.25 6.00 6.75,,6.50,5.25,6.20,
Choreography / Composition  1.60 6.00 6.25 6.25,6.25 6.25 5.25 6.50,,6.25,5.00,6.00,
Interpretation  1.60 6.00 6.25 6.25,6.75 6.00 5.50 6.75,,6.50,5.25,6.00,
Judges Total Program Component Score (factored),,,,,48.16,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
10 Elena GLEBOVA EST  8,88.83  45.75,,,44.08,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lo  5.00 -2.80 -3 -2 -2,-2 -3 -3 -3,,,-2 -3,2.20,
2 2A  3.50  0.00 0 0 1,1 0 0 0,,,1 0,3.50,
3 3S+2T+2T  7.10  0.00 0 0 0,1 0 0 1,,,1 0,7.10,
4 SpSq3  3.10  0.30 1 0 0,1 1 1 1,,,2 0,3.40,
5 3T+3T< <  5.83 x  0.00 -2 1 1,-1 -1 -1 1,,,1 0,5.83,
6 CUSp2  2.00  0.00 1 0 0,0 0 0 0,,,0 -1,2.00,
7 3S  4.95 x  0.00 0 0 0,0 1 0 0,,,1 0,4.95,
8 2A+2T  5.28 x  0.00 0 0 0,0 0 0 0,,,0 -1,5.28,
9 2A  3.85 x -0.16 -1 0 0,-1 -1 0 0,,,0 0,3.69,
10 FSSp2  2.30  0.10 0 1 0,0 0 0 0,,,0 1,2.40,
11 SlSt3  3.30  0.10 1 0 0,1 1 0 0,,,1 0,3.40,
12 CCoSp1  2.00  0.00 0 0 0,0 0 -1 0,,,0 1,2.00,
48.21,,,,,45.75,
Program Components Factor,,,,,,
Skating Skills  1.60 6.00 4.75 5.50,5.75 4.75 5.25 6.25,,6.75,6.00,5.50,
Transition / Linking Footwork  1.60 6.50 4.50 5.25,5.50 5.00 4.50 5.75,,6.00,5.50,5.20,
Performance / Execution  1.60 6.50 5.00 5.75,5.50 5.50 5.50 6.00,,6.25,5.75,5.70,
Choreography / Composition  1.60 6.75 5.00 5.50,5.50 5.25 5.00 6.00,,6.50,6.25,5.60,
Interpretation  1.60 6.75 5.00 5.50,5.75 5.50 5.25 6.00,,6.75,5.50,5.55,
Judges Total Program Component Score (factored),,,,,44.08,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
11 Oksana GOZEVA RUS  6,88.13  45.17,,,42.96,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz  6.00  1.60 2 0 2,2 1 2 1,,,2 1,7.60,
2 3Lo  5.00 -0.20 0 0 0,0 -1 0 0,,,-1 -1,4.80,
3 1F  0.50  0.00 0 0 0,1 0 0 0,,,0 0,0.50,
4 2S  1.30 -0.12 0 -1 0,0 -1 0 0,,,-2 -1,1.18,
"",,,Info,,,Info
5 FSSp3  2.60  0.30 0 1 0,1 0 1 1,,,0 1,2.90,
6 CiSt3  3.30  0.30 1 1 1,0 0 1 0,,,0 0,3.60,
7 3Lz+2T+SEQ  6.42 x  0.00 1 0 0,0 0 0 0,,,0 0,6.42,
8 3S  4.95 x  0.00 0 0 0,0 0 0 0,,,0 0,4.95,
9 LSp4  2.70  0.60 2 1 1,1 1 1 2,,,1 2,3.30,
10 SpSq1  1.80  0.20 0 1 0,0 0 1 2,,,1 1,2.00,
11 2A+2T+SEQ  4.22 x  0.00 0 1 0,0 0 0 0,,,0 0,4.22,
12 CCoSp4  3.50  0.20 1 1 0,0 0 1 1,,,0 0,3.70,
42.29,,,,,45.17,
Program Components Factor,,,,,,
Skating Skills  1.60 5.25 5.75 5.75,5.50 5.25 6.00 5.50,,5.25,5.75,5.60,
Transition / Linking Footwork  1.60 4.75 5.50 5.00,5.25 4.00 5.75 5.00,,4.75,5.00,5.10,
Performance / Execution  1.60 5.00 5.50 5.50,5.75 5.00 5.75 5.00,,5.00,5.50,5.45,
Choreography / Composition  1.60 4.75 5.75 5.75,5.25 4.25 6.25 5.25,,5.00,5.25,5.35,
Interpretation  1.60 4.50 5.25 5.75,5.50 4.50 6.00 5.50,,5.25,5.75,5.35,
Judges Total Program Component Score (factored),,,,,42.96,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
12 Viktoria HELGESSON SWE  7,86.24  42.96,,,43.28,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 2F+2T  3.00  0.00 0 0 0,0 0 0 0,,,0 0,3.00,
2 3F< <  1.70 -0.42 -2 -1 -2,-1 -1 -1 -2,,,-2 -1,1.28,
3 3Lo  5.00 -1.40 -1 -1 -2,-2 -2 -1 -1,,,-2 -1,3.60,
4 CSp3  2.30  0.10 0 0 1,0 0 0 0,,,0 1,2.40,
5 2T  1.30  0.00 0 0 0,0 0 1 0,,,0 0,1.30,
6 3Lo+2T  6.93 x  0.00 0 0 0,0 0 0 0,,,0 0,6.93,
7 SpSq3  3.10  0.20 1 1 0,0 0 2 1,,,0 0,3.30,
8 2A+2A+SEQ  6.16 x  0.60 1 0 1,1 0 1 0,,,1 0,6.76,
9 3S  4.95 x  0.40 1 0 0,0 1 1 0,,,1 1,5.35,
10 FSSp4  3.00  0.00 1 0 0,0 0 1 0,,,0 0,3.00,
11 SlSt3  3.30  0.30 1 1 0,1 1 1 1,,,0 0,3.60,
12 CCoSp2  2.50 -0.06 0 0 0,-1 1 0 0,,,0 -1,2.44,
43.24,,,,,42.96,
Program Components Factor,,,,,,
Skating Skills  1.60 5.00 5.50 5.25,4.75 6.00 6.75 5.50,,6.00,5.75,5.60,
Transition / Linking Footwork  1.60 4.50 4.75 5.25,4.75 5.00 6.50 5.00,,5.50,5.25,5.15,
Performance / Execution  1.60 4.75 5.50 5.00,5.25 5.50 6.50 5.25,,5.50,5.75,5.45,
Choreography / Composition  1.60 4.75 5.25 5.25,5.00 5.25 6.50 5.50,,5.75,5.25,5.40,
Interpretation  1.60 5.00 5.25 5.25,5.00 5.50 6.50 5.25,,6.00,5.50,5.45,
Judges Total Program Component Score (factored),,,,,43.28,
Deductions:,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
13 Tugba KARADEMIR TUR  12,82.54  35.74,,,46.80,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3S+2T  5.80 -1.40 -2 -1 -1,-2 -2 -1 -2,,,-1 -1,4.40,
2 3T  4.00  0.00 0 0 0,0 1 0 0,,,-1 0,4.00,
3 3Lz< <  1.90 -0.84 -2 -2 -3,-2 -2 -3 -3,,,-3 -3,1.06,
4 FCSp3  2.80  0.40 0 0 1,1 0 2 1,,,1 1,3.20,
"",,,Info,,,Info
5 3T<+1T <  1.70 -0.42 -2 -1 0,-1 0 0 -2,,,-1 -2,1.28,
6 2A  3.50 -0.48 -1 0 0,0 0 -1 -1,,,-1 0,3.02,
7 CCoSp3  3.00  0.00 0 0 0,0 0 0 0,,,0 0,3.00,
8 3S< <  1.43 x -0.60 -2 -2 -1,-2 -2 -2 -2,,,-2 -2,0.83,
9 2A  3.85 x  0.00 0 0 0,0 0 0 0,,,0 0,3.85,
10 FCCoSp4  3.50  0.00 0 0 0,0 0 0 0,,,1 0,3.50,
11 SpSq4  3.40  0.80 1 1 1,0 1 1 1,,,1 0,4.20,
12 SlSt3  3.30  0.10 0 0 0,0 1 0 1,,,1 0,3.40,
38.18,,,,,35.74,
Program Components Factor,,,,,,
