Cup of China 2006,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
Transition / Linking Footwork  2.00,6.25 6.75 7.00,7.00,6.50 6.75 - 7.00,,6.75,7.25 - -,6.85
Performance / Execution  2.00,7.00 7.00 7.25,7.00,6.75 7.00 - 7.75,,7.00,7.25 - -,7.10
Choreography / Composition  2.00,6.75 7.25 7.50,7.50,6.75 7.25 - 7.25,,7.00,7.50 - -,7.25
Interpretation  2.00,7.25 7.25 7.50,7.25,6.50 7.25 - 7.50,,7.00,7.50 - -,7.35
Judges Total Program Component Score (factored),,,,,,,71.50
Deductions: Falls:,-1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Sergei DAVYDOV,BLR,,129.66  64.66,,,65.00,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A+3T  11.50  0.80,1 1 0,1,1 1 - 1,,1,0 - -,12.30
2 3A  7.50  0.80,1 0 0,1,1 1 - 1,,1,1 - -,8.30
3 3Lz+2T+2T  8.60  0.00,-1 0 0,0,0 0 - 0,,0,0 - -,8.60
4 FSSp3  2.30  0.30,0 0 1,0,1 1 - 1,,1,0 - -,2.60
5 2F+2T  3.00 -0.60,-2 -2 -2,-2,-1 -2 - -2,,-2,-2 - -,2.40
6 3Lo  5.50 x  0.00,1 0 0,0,0 0 - 0,,0,0 - -,5.50
7 3S  4.95 x  0.00,0 0 0,0,0 0 - 0,,0,0 - -,4.95
8 SlSt3  3.10  0.40,1 1 1,0,1 0 - 1,,1,0 - -,3.50
9 CCoSp2  2.50  0.00,-1 0 0,1,0 1 - 0,,0,0 - -,2.50
10 3T  4.40 x  0.00,1 0 0,0,0 0 - 0,,0,0 - -,4.40
11 2A  3.63 x -0.42,0 0 -1,0,0 -1 - 0,,-1,-1 - -,3.21
12 CSSp2  2.00  0.00,0 0 0,0,0 0 - 0,,0,0 - -,2.00
13 CiSt1  1.80  0.10,0 0 0,1,1 1 - 1,,0,0 - -,1.90
14 CCoSp2  2.50  0.00,0 0 0,0,-1 0 - 0,,0,-2 - -,2.50
63.28,,,,,,,64.66
Program Components Factor,,,,,,,
Skating Skills  2.00,6.50 7.00 6.75,7.50,7.25 6.75 - 7.00,,7.00,6.00 - -,6.80
Transition / Linking Footwork  2.00,4.25 6.25 5.50,7.50,6.75 6.50 - 6.50,,6.50,5.00 - -,5.95
Performance / Execution  2.00,6.50 6.50 6.50,7.75,6.75 6.50 - 6.75,,7.00,5.25 - -,6.55
Choreography / Composition  2.00,5.75 6.75 6.75,7.75,6.75 6.75 - 7.00,,6.75,6.00 - -,6.60
Interpretation  2.00,6.25 7.00 6.50,7.75,6.75 6.75 - 6.50,,7.00,6.00 - -,6.60
Judges Total Program Component Score (factored),,,,,,,65.00
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
4 Scott SMITH,USA,,128.61  65.51,,,63.10,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A+2T  8.80  0.60,1 0 0,1,1 1 - 1,,0,1 - -,9.40
2 3S  4.50  0.40,1 0 0,1,1 1 - 1,,0,0 - -,4.90
3 3A  7.50 -1.00,-2 0 -1,0,-1 -1 - -1,,0,-2 - -,6.50
4 3Lo  5.00  0.00,1 0 0,0,0 0 - 0,,0,0 - -,5.00
5 FSSp3  2.30 -0.18,-2 0 0,0,0 0 - -1,,0,-2 - -,2.12
6 CUSp3  2.30  0.00,0 0 0,1,0 0 - 0,,0,0 - -,2.30
7 3Lz  6.60 x -2.00,-2 -1 -2,-1,-1 -2 - -2,,-2,-2 - -,4.60
8 3F  6.05 x  0.00,0 0 0,0,0 0 - 1,,0,0 - -,6.05
9 3T+2T+2T  7.26 x  0.00,1 0 0,0,0 0 - 0,,0,0 - -,7.26
10 CoSp3  2.50  0.00,0 0 0,0,0 0 - 0,,0,0 - -,2.50
11 CiSt3  3.10  0.00,0 0 0,1,0 0 - 0,,0,0 - -,3.10
12 3S+2T  6.38 x  0.00,1 0 0,0,0 0 - 0,,0,0 - -,6.38
13 SlSt3  3.10  0.00,0 0 0,0,0 0 - 0,,0,0 - -,3.10
14 CCoSp1  2.00  0.30,0 1 0,1,1 1 - 1,,0,1 - -,2.30
67.39,,,,,,,65.51
Program Components Factor,,,,,,,
Skating Skills  2.00,6.25 5.75 6.25,6.75,6.50 6.25 - 7.00,,6.75,6.25 - -,6.35
Transition / Linking Footwork  2.00,5.75 5.50 6.00,6.75,6.25 5.75 - 6.25,,6.50,6.00 - -,5.95
Performance / Execution  2.00,6.50 5.75 6.25,6.75,6.00 6.00 - 7.00,,6.50,6.25 - -,6.30
Choreography / Composition  2.00,6.50 5.50 6.50,7.00,6.00 6.25 - 6.75,,6.50,6.50 - -,6.45
Interpretation  2.00,6.75 5.75 6.50,7.00,6.00 6.25 - 7.00,,6.75,6.25 - -,6.50
Judges Total Program Component Score (factored),,,,,,,63.10
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
5 Alexander USPENSKI,RUS,,122.37  63.17,,,59.20,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A+2T  8.80  0.00,0 0 0,0,0 0 0 0,,0,0 - -,8.80
2 3S+3T  8.50 -0.20,1 0 -1,0,0 0 0 0,,-1,-1 - -,8.30
3 3F+2T  6.80  0.00,1 0 0,0,0 0 0 0,,0,0 - -,6.80
4 3Lz  6.00 -0.60,-1 0 -1,0,0 -1 0 -1,,0,-1 - -,5.40
5 FSSp3  2.30 -0.06,-1 0 0,1,0 0 0 0,,0,-2 - -,2.24
6 CSSp1  1.70  0.00,-1 0 0,0,0 0 0 0,,0,0 - -,1.70
7 3F  6.05 x  0.00,-1 0 0,1,0 0 1 0,,0,0 - -,6.05
8 3S  4.95 x  0.40,1 0 0,1,0 0 0 1,,1,0 - -,5.35
9 3Lo  5.50 x  0.20,1 0 0,1,0 0 0 0,,1,0 - -,5.70
10 FCoSp2  2.10  0.00,0 0 0,0,0 0 0 0,,0,-1 - -,2.10
11 SlSt2  2.30  0.00,0 0 0,0,0 1 0 0,,0,0 - -,2.30
12 2A  3.63 x -1.40,-2 -2 -2,-2,-2 -2 -2 -2,,-2,-2 - -,2.23
13 CiSt2  2.30  0.40,1 1 0,0,1 1 0 1,,1,0 - -,2.70
14 CCoSp3  3.00  0.50,1 1 1,0,1 1 0 1,,1,1 - -,3.50
63.93,,,,,,,63.17
Program Components Factor,,,,,,,
Skating Skills  2.00,5.50 6.50 5.75,6.00,5.75 6.25 5.75 6.50,,6.25,5.25 - -,6.05
Transition / Linking Footwork  2.00,4.50 6.00 5.00,6.00,5.50 5.75 5.00 5.75,,6.00,5.00 - -,5.50
Performance / Execution  2.00,5.75 6.25 5.00,6.00,5.50 6.25 5.50 6.25,,6.25,5.50 - -,6.00
Choreography / Composition  2.00,6.00 6.50 5.25,6.25,5.25 6.25 5.75 6.00,,6.25,5.50 - -,6.05
Interpretation  2.00,5.25 6.50 5.00,6.25,5.25 6.25 5.50 6.00,,6.50,5.75 - -,6.00
Judges Total Program Component Score (factored),,,,,,,59.20
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
6 Kensuke NAKANIWA,JPN,,122.01  62.51,,,59.50,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4T  9.00 -1.00,-1 -1 -2,-1,-1 -1 - -1,,-1,-1 - -,8.00
2 3Lz  6.00 -0.40,-1 -1 1,0,0 0 - 0,,-1,0 - -,5.60
3 3A  7.50  0.00,1 0 0,1,0 0 - 0,,0,0 - -,7.50
4 CSSp3  2.30  0.20,1 0 0,1,0 1 - 0,,1,0 - -,2.50
5 CiSt2  2.30  0.10,0 0 0,1,1 1 - 1,,0,0 - -,2.40
6 3Lz+2T  8.03 x  0.00,0 0 0,1,0 0 - 0,,0,0 - -,8.03
7 2F  1.87 x -0.06,-1 0 0,0,0 0 - 0,,-1,0 - -,1.81
8 CCoSp2  2.50  0.00,0 0 0,1,0 0 - 0,,0,0 - -,2.50
9 3Lo  5.50 x -2.00,-2 -2 -2,-1,-2 -2 - -2,,-2,-2 - -,3.50
10 3F+2T  7.48 x -0.40,-2 0 0,0,0 0 - 0,,-1,-1 - -,7.08
11 FSSp1  1.70 -0.06,0 0 0,0,-1 0 - -2,,0,-1 - -,1.64
12 SlSt3  3.10  0.10,1 0 0,1,1 1 - 0,,0,0 - -,3.20
13 3S  4.95 x  0.80,1 1 1,1,1 1 - 1,,0,0 - -,5.75
14 CCoSp3  3.00  0.00,0 0 0,1,0 0 - 0,,0,0 - -,3.00
65.23,,,,,,,62.51
Program Components Factor,,,,,,,
Skating Skills  2.00,6.25 5.75 6.50,6.50,6.00 6.00 - 6.50,,6.25,5.75 - -,6.15
Transition / Linking Footwork  2.00,5.25 5.25 5.00,6.75,5.75 5.75 - 5.75,,6.00,5.75 - -,5.55
Performance / Execution  2.00,6.00 5.50 6.00,6.75,5.75 6.00 - 6.25,,6.00,5.50 - -,5.90
Choreography / Composition  2.00,6.25 5.75 6.25,7.00,5.75 6.00 - 6.00,,6.25,5.50 - -,6.05
Interpretation  2.00,6.50 5.75 6.00,6.50,6.00 6.00 - 6.25,,6.25,6.00 - -,6.10
Judges Total Program Component Score (factored),,,,,,,59.50
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
7 Jialiang WU,CHN,,117.77  62.77,,,55.00,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A+3T  11.50  0.40,1 0 0,0,0 1 - 1,,0,0 - -,11.90
2 3A  7.50  1.00,2 1 1,1,1 1 - 1,,1,1 - -,8.50
3 FSSp4  3.00  0.00,0 0 1,0,0 0 - 0,,0,0 - -,3.00
4 3Lz  6.00  0.60,1 0 1,1,1 1 - 1,,0,0 - -,6.60
5 CiSt2  2.30  0.00,0 0 0,0,0 0 - 0,,0,0 - -,2.30
6 2A  3.30  0.00,1 0 0,0,0 0 - 0,,0,0 - -,3.30
7 CSSp3  2.30  0.00,0 0 0,0,-1 0 - 0,,0,0 - -,2.30
8 3Lz+2T+2T  9.46 x  0.00,1 0 -1,0,-1 0 - 0,,0,0 - -,9.46
9 3Lo  5.50 x -0.40,0 0 -1,0,0 -1 - 0,,-1,0 - -,5.10
10 2F+2T  3.30 x  0.00,-1 0 0,0,0 0 - 0,,0,0 - -,3.30
11 SlSt2  2.30  0.00,0 0 0,0,0 0 - 0,,0,0 - -,2.30
12 2S  1.43 x -0.30,-1 -1 -1,-1,-1 -1 - -1,,-1,-1 - -,1.13
13 CCoSp1  2.00 -0.12,0 0 -1,0,0 1 - -1,,0,-1 - -,1.88
14 FSSp1  1.70  0.00,0 0 0,0,0 0 - -1,,0,0 - -,1.70
61.59,,,,,,,62.77
Program Components Factor,,,,,,,
Skating Skills  2.00,5.50 5.50 5.25,6.25,5.50 6.50 - 6.50,,5.75,5.25 - -,5.70
Transition / Linking Footwork  2.00,5.75 5.00 4.75,6.25,5.25 5.50 - 5.50,,5.25,4.75 - -,5.20
Performance / Execution  2.00,6.50 5.25 5.00,6.25,5.00 6.25 - 5.75,,5.50,5.00 - -,5.55
Choreography / Composition  2.00,6.25 5.25 5.25,6.00,5.00 6.00 - 6.00,,5.25,5.50 - -,5.60
Interpretation  2.00,6.25 5.25 4.75,6.00,5.00 5.75 - 5.75,,5.50,5.00 - -,5.45
Judges Total Program Component Score (factored),,,,,,,55.00
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
8 Yannick PONSERO,FRA,,114.19  50.89,,,63.30,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A<  3.30 -1.96,-3 -2 -3,-3,-3 -2 - -3,,-3,-3 - -,1.34
2 3T  4.00  0.20,2 0 0,0,0 0 - 0,,0,1 - -,4.20
3 2A  3.30  0.20,0 0 1,0,0 0 - 0,,0,1 - -,3.50
4 CCSp4  3.00  0.50,1 1 1,0,1 1 - 1,,1,0 - -,3.50
5 2A  3.30  0.00,1 0 0,0,0 0 - 0,,0,0 - -,3.30
6 CiSt3  3.10  0.50,1 1 0,0,1 1 - 1,,1,1 - -,3.60
7 2F+3S+SEQ  5.46 x -0.20,-1 0 -1,0,0 0 - 0,,0,0 - -,5.26
8 CCoSp4  3.50  0.30,1 1 -1,0,0 1 - 0,,0,1 - -,3.80
9 3S+2T  6.38 x  0.00,1 0 0,0,0 0 - 0,,0,0 - -,6.38
10 FSSp3  2.30  0.30,1 1 1,0,1 0 - 0,,1,0 - -,2.60
11 3Lz  6.60 x -1.20,-1 -1 -2,-1,-1 -1 - -1,,-1,-2 - -,5.40
12 SlSt3  3.10  0.50,1 1 1,1,1 1 - 1,,1,0 - -,3.60
13 2A  3.63 x -1.12,-2 -1 -2,-1,-1 -1 - -2,,-1,-2 - -,2.51
14 SSp3  1.80  0.10,1 0 0,0,0 0 - 0,,0,1 - -,1.90
52.77,,,,,,,50.89
Program Components Factor,,,,,,,
Skating Skills  2.00,7.00 6.50 6.75,6.25,6.25 6.50 - 6.75,,6.50,6.50 - -,6.60
Transition / Linking Footwork  2.00,5.75 5.75 5.25,6.25,6.25 6.25 - 6.25,,6.25,6.00 - -,6.00
Performance / Execution  2.00,7.00 6.00 5.50,6.25,6.25 6.25 - 6.50,,6.25,5.75 - -,6.15
Choreography / Composition  2.00,7.00 6.25 6.50,6.50,6.00 6.75 - 6.50,,6.50,6.25 - -,6.50
Interpretation  2.00,7.25 6.25 6.00,6.25,6.50 6.50 - 6.25,,6.50,6.50 - -,6.40
Judges Total Program Component Score (factored),,,,,,,63.30
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of China 2006,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
9 Song GAO,CHN,,98.81  48.81,,,50.00,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 1A  0.80  0.00,1 0 0,0,-3 0 0 0,,0,0 - -,0.80
2 3F+3T  9.50 -0.40,-1 1 0,0,0 0 -1 0,,0,-1 - -,9.10
3 1Lz  0.60  0.06,1 0 0,0,-3 0 1 0,,0,0 - -,0.66
4 3Lo  5.00 -0.60,0 0 -2,0,-1 -1 0 -1,,-1,-1 - -,4.40
5 SSp2  1.50  0.00,0 0 0,0,0 0 0 0,,0,0 - -,1.50
6 3Lz+2T  7.30  0.00,0 0 0,0,0 0 0 0,,0,0 - -,7.30
7 3F  6.05 x -0.40,-1 0 0,0,0 0 -1 0,,0,-1 - -,5.65
8 SlSt2  2.30  0.00,0 0 0,0,0 0 0 0,,0,0 - -,2.30
9 CCoSp1  2.00 -0.12,-1 0 -1,0,0 0 0 0,,-1,-1 - -,1.88
10 3T+2T  5.83 x  0.00,0 0 0,0,0 1 0 0,,0,0 - -,5.83
11 2A  3.63 x  0.00,1 0 0,0,0 0 0 0,,0,0 - -,3.63
12 CSSp2  2.00 -0.06,-1 0 0,0,0 0 -1 0,,0,0 - -,1.94
13 FSSp1  1.70 -0.18,-1 0 0,0,-1 -1 0 -1,,0,-1 - -,1.52
14 CiSt2  2.30  0.00,0 0 0,0,0 0 0 0,,0,0 - -,2.30
50.51,,,,,,,48.81
Program Components Factor,,,,,,,
Skating Skills  2.00,5.75 5.50 5.50,5.25,4.75 5.75 5.25 5.50,,5.25,4.75 - -,5.45
Transition / Linking Footwork  2.00,4.75 5.00 4.50,5.00,4.50 5.25 4.50 4.75,,4.50,4.25 - -,4.70
Performance / Execution  2.00,5.00 5.00 5.00,4.75,4.50 5.50 5.00 4.75,,4.75,4.00 - -,4.90
Choreography / Composition  2.00,5.50 5.25 5.00,5.00,4.50 5.25 5.00 5.00,,4.50,4.25 - -,5.00
Interpretation  2.00,5.00 5.25 4.50,4.75,4.50 5.25 4.75 5.00,,4.75,4.00 - -,4.95
Judges Total Program Component Score (factored),,,,,,,50.00
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
10 Ryo SHIBATA,JPN,,96.23  42.73,,,54.50,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.30  0.00,1 0 0,0,1 0 - 0,,0,0 - -,3.30
2 3Lz  6.00 -2.00,-2 -1 -2,-2,0 -2 - -2,,-2,-2 - -,4.00
3 FCSp3  2.30  0.20,0 0 0,0,0 1 - 1,,1,0 - -,2.50
4 3F+2T+2Lo  8.30  0.00,1 0 0,0,0 0 - 0,,0,0 - -,8.30
5 CiSt2  2.30  0.00,0 0 0,0,0 0 - 0,,0,0 - -,2.30
6 3S+1T  5.39 x -0.40,0 0 0,0,0 -1 - -1,,0,-1 - -,4.99
7 3Lz<+SEQ  1.67 x -1.00,-3 -3 -3,-3,-3 -3 - -3,,-3,-3 - -,0.67
8 FSSp2  2.00  0.00,0 0 0,0,0 0 - 0,,0,0 - -,2.00
9 SlSt2  2.30  0.00,0 0 0,1,0 0 - 0,,0,0 - -,2.30
10 3Lo  5.50 x -2.00,-2 -1 -2,-1,-2 -2 - -2,,-2,-2 - -,3.50
11 CoSp2  2.10 -0.06,0 0 0,0,0 0 - -1,,0,-1 - -,2.04
12 3T*+2T*  0.00  0.00,- - -,-,- - - -,,-,- - -,0.00
13 2A  3.63 x  0.00,0 0 0,0,0 0 - 0,,0,0 - -,3.63
14 CCoSp3  3.00  0.20,-1 0 1,0,0 1 - 0,,1,0 - -,3.20
47.79,,,,,,,42.73
Program Components Factor,,,,,,,
Skating Skills  2.00,5.00 5.75 6.00,5.50,5.25 5.75 - 6.25,,6.00,5.00 - -,5.70
Transition / Linking Footwork  2.00,4.50 5.00 4.75,5.75,5.00 5.25 - 5.25,,5.75,5.00 - -,5.05
Performance / Execution  2.00,5.25 5.25 4.75,5.75,4.75 5.50 - 5.75,,5.75,5.25 - -,5.40
Choreography / Composition  2.00,5.50 5.50 5.75,6.00,5.00 5.75 - 5.75,,5.75,5.50 - -,5.65
Interpretation  2.00,5.00 5.50 5.00,5.75,4.75 5.75 - 5.50,,6.00,5.50 - -,5.45
Judges Total Program Component Score (factored),,,,,,,54.50
Deductions: Falls:,-1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Printed: 11/11/2006 22:27:44,,,,,,,
