Cup of China 2006,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
3 3FTw1  4.50 -0.28,-2 0 -2 0,0 0 -1 -1,,1,0 - -,4.22
4 4Li4  4.00  0.06,0 1 0 0,0 1 0 1,,1,0 - -,4.06
5 BoDs3  4.00  0.42,1 0 0 1,1 0 1 0,,1,0 - -,4.42
6 PCoSp3  4.00  0.50,1 0 1 0,1 1 1 1,,1,1 - -,4.50
7 FCCoSp4  3.50  0.40,1 0 1 1,1 2 1 0,,2,0 - -,3.90
8 SpSq1  1.80  0.18,0 0 1 1,1 2 1 -2,,2,-2 - -,1.98
28.60,,,,,,29.96
Program Components Factor,,,,,,
Skating Skills  0.80,7.50 7.00 6.75 7.25,7.50 8.00 6.25 7.25,,7.00,6.50 - -,7.20
Transition / Linking Footwork  0.80,7.25 6.75 6.25 6.50,7.75 8.00 6.00 7.00,,6.75,6.75 - -,7.05
Performance / Execution  0.80,7.25 7.00 6.75 6.75,7.75 7.50 6.00 7.25,,7.00,6.50 - -,7.05
Choreography / Composition  0.80,7.50 7.00 7.00 7.25,7.50 8.00 6.75 7.25,,7.00,6.75 - -,7.25
Interpretation  0.80,7.50 7.25 6.75 7.00,7.75 8.25 6.75 7.25,,7.25,7.00 - -,7.30
Judges Total Program Component Score (factored),,,,,,28.68
Deductions:,,,,,,0.00
Cup of China 2006,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
4 Valerie MARCOUX / Craig BUNTIN,CAN,56.68  31.44,,,26.24,1.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00,0.20 0 0 0 0,1 1 0 -1,,1,0 - -,4.20
2 2FTw3  4.00,0.50 1 0 1 1,1 1 1 -1,,2,1 - -,4.50
3 SpSq4  3.40,0.20 0 0 0 0,0 1 0 1,,0,0 - -,3.60
4 FCCoSp4  3.50,0.10 0 -1 1 1,0 1 0 -1,,1,0 - -,3.60
5 PCoSp4  4.50,0.00 -1 0 0 0,0 0 0 0,,1,0 - -,4.50
6 4Li4  4.00,0.18 0 1 1 0,1 1 1 0,,1,1 - -,4.18
7 3LoTh  5.00,-2.00 -3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,3.00
8 BoDs3  4.00,-0.14 -1 -1 0 0,1 0 0 0,,-1,-1 - -,3.86
32.40,,,,,,31.44
Program Components,Factor,,,,,
Skating Skills,0.80 6.75 6.75 6.50 6.50,7.25 6.75 6.00 6.25,,7.00,6.75 - -,6.60
Transition / Linking Footwork,0.80 6.50 6.25 6.00 5.50,7.00 6.75 6.00 6.00,,6.75,6.75 - -,6.40
Performance / Execution,0.80 6.50 6.75 6.25 6.25,6.75 6.50 6.25 6.25,,6.75,7.00 - -,6.45
Choreography / Composition,0.80 6.75 6.50 6.50 6.50,7.00 6.50 6.75 6.00,,7.00,7.00 - -,6.70
Interpretation,0.80 6.75 6.75 6.25 6.25,7.00 6.75 6.50 6.25,,6.75,7.25 - -,6.65
Judges Total Program Component Score (factored),,,,,,26.24
Deductions:,Falls: -1.00,,,,,-1.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
5 Dorota SIUDEK / Mariusz SIUDEK,POL,50.74  25.14,,,25.60,0.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LoTh  5.00,-0.84 -1 -2 -2 -2,-1 0 -1 -1,,-2,-2 - -,4.16
2 3T  4.00,-2.00 -2 -2 -3 -2,-2 -2 -1 -2,,-2,-3 - -,2.00
3 FCCoSp2  2.50,-0.30 -1 -1 -1 -1,-1 -1 -1 -1,,0,-2 - -,2.20
4 3FTw2  5.00,0.14 0 0 0 0,0 1 1 -1,,1,0 - -,5.14
5 PCoSp  0.00,0.00 - - - -,- - - -,,-,- - -,0.00
6 SpSq4  3.40,0.20 0 0 0 0,0 1 0 1,,0,0 - -,3.60
7 4Li4  4.00,0.18 1 0 0 0,0 2 1 1,,0,0 - -,4.18
8 BoDs3  4.00,-0.14 0 0 0 0,0 -1 -1 1,,1,0 - -,3.86
27.90,,,,,,25.14
Program Components,Factor,,,,,
Skating Skills,0.80 6.50 6.00 6.00 6.50,6.75 7.25 6.00 6.75,,6.75,5.50 - -,6.50
Transition / Linking Footwork,0.80 6.25 5.50 5.75 5.50,6.50 7.00 6.00 6.75,,6.25,5.25 - -,6.20
Performance / Execution,0.80 6.25 6.00 6.00 5.75,6.75 6.75 6.00 6.75,,6.50,5.25 - -,6.30
Choreography / Composition,0.80 6.50 6.25 6.00 6.25,6.75 7.25 6.50 6.75,,6.50,5.75 - -,6.55
Interpretation,0.80 6.50 5.75 5.75 6.00,6.75 7.00 6.25 6.75,,6.75,5.50 - -,6.45
Judges Total Program Component Score (factored),,,,,,25.60
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
6 Julia VLASSOV / Drew MEEKINS,USA,43.76  24.84,,,18.92,0.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 BoDs2  3.50,0.00 0 0 0 0,0 1 0 0,,1,0 - -,3.50
2 2A  3.30,0.00 0 -1 0 0,0 0 0 -1,,0,0 - -,3.30
3 4Li4  4.00,0.00 -1 -1 0 0,0 1 0 0,,0,0 - -,4.00
4 3LoTh  5.00,0.00 0 1 0 0,0 0 0 -1,,1,0 - -,5.00
5 FCCoSp2  2.50,-0.06 0 0 0 -1,0 0 0 0,,1,-1 - -,2.44
6 2FTw2  3.50,-0.30 -1 0 -1 -1,-1 0 -1 -1,,0,-1 - -,3.20
7 SpSq4  3.40,0.00 0 0 0 0,0 1 0 0,,0,0 - -,3.40
8 PCoSp  0.00,0.00 - - - -,- - - -,,-,- - -,0.00
25.20,,,,,,24.84
Program Components,Factor,,,,,
Skating Skills,0.80 4.50 4.75 5.75 5.50,4.75 5.25 4.50 4.75,,6.50,5.00 - -,4.85
Transition / Linking Footwork,0.80 4.00 4.00 5.25 4.50,4.75 5.00 4.75 4.50,,6.00,4.50 - -,4.60
Performance / Execution,0.80 4.25 4.50 5.25 4.75,4.50 5.50 5.00 4.75,,6.25,4.50 - -,4.70
Choreography / Composition,0.80 4.25 4.50 5.50 5.25,4.50 5.25 5.00 4.50,,6.25,4.75 - -,4.80
Interpretation,0.80 4.25 4.25 5.50 5.00,4.50 5.50 5.00 4.50,,6.00,4.50 - -,4.70
Judges Total Program Component Score (factored),,,,,,18.92
Deductions:,,,,,,0.00
Cup of China 2006,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
7 Emilie DEMERS BOUTIN / Pierre-Philippe JONCAS,CAN,43.00  24.88,,,18.12,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2A  3.30 -0.14,-1 0 0 0,0 0 0 -1,,0,0 - -,3.16
2 3STh  4.50 -1.26,-2 -2 -2 -2,-1 -2 -1 -2,,-2,-2 - -,3.24
3 2LzTw3  4.00  0.00,0 0 0 0,0 0 0 -1,,1,0 - -,4.00
4 4Li3  3.50 -0.30,-1 -1 -1 -1,-1 0 -1 -1,,-1,-1 - -,3.20
5 SpSq4  3.40  0.00,0 -1 0 0,-1 0 0 0,,-1,0 - -,3.40
6 FCCoSp4  3.50 -0.12,-1 0 0 0,-1 0 -1 0,,0,0 - -,3.38
7 BoDs  0.00  0.00,- - - -,- - - -,,-,- - -,0.00
8 PCoSp4  4.50  0.00,0 0 0 0,0 0 0 -1,,0,0 - -,4.50
26.70,,,,,,24.88
Program Components Factor,,,,,,
Skating Skills  0.80,4.25 5.25 5.00 5.75,4.25 5.25 4.50 4.75,,5.50,4.50 - -,4.65
Transition / Linking Footwork  0.80,4.00 4.75 4.50 4.75,4.00 5.00 4.50 4.25,,5.00,4.25 - -,4.35
Performance / Execution  0.80,4.00 5.00 4.75 5.25,3.75 5.25 4.50 4.50,,5.25,4.50 - -,4.55
Choreography / Composition  0.80,4.00 5.25 4.75 5.25,4.00 5.25 4.75 4.25,,5.00,4.75 - -,4.60
Interpretation  0.80,4.00 5.25 5.00 5.00,3.75 5.25 4.75 4.25,,5.00,4.50 - -,4.50
Judges Total Program Component Score (factored),,,,,,18.12
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
8 Jiaqi LI / Jiankun XU,CHN,41.70  23.70,,,20.00,2.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw1  4.50  0.84,1 1 2 1,2 2 1 0,,2,1 - -,5.34
2 3LoTh  5.00 -2.00,-3 -2 -3 -3,-3 -3 -3 -3,,-3,-3 - -,3.00
3 3T<  1.30 -1.00,-3 -3 -3 -3,-1 -3 -3 -3,,-3,-3 - -,0.30
4 SpSq4  3.40  0.20,0 0 0 0,1 0 0 1,,-1,0 - -,3.60
5 FCCoSp2  2.50 -0.18,-1 -1 -1 -1,0 0 0 -1,,-1,-1 - -,2.32
6 BoDs1  3.00 -0.56,0 -1 -1 -2,0 -1 -1 -1,,0,-1 - -,2.44
7 4Li4  4.00  0.00,0 0 0 -1,0 1 0 0,,0,0 - -,4.00
8 PCoSp1  3.00 -0.30,-1 0 -2 -1,0 -1 -1 -1,,-2,-2 - -,2.70
26.70,,,,,,23.70
Program Components Factor,,,,,,
Skating Skills  0.80,4.25 7.00 5.00 5.25,7.25 5.25 4.50 4.50,,4.50,6.25 - -,5.15
Transition / Linking Footwork  0.80,3.75 6.50 4.50 4.25,7.00 5.00 4.50 4.25,,3.75,6.00 - -,4.80
Performance / Execution  0.80,3.75 6.75 5.00 4.75,7.00 4.75 5.00 4.25,,3.75,6.25 - -,5.00
Choreography / Composition  0.80,4.00 6.75 4.75 5.00,7.00 5.00 5.00 4.25,,4.00,6.25 - -,5.10
Interpretation  0.80,4.00 6.50 5.00 4.75,7.00 5.00 5.00 4.00,,4.00,6.00 - -,4.95
Judges Total Program Component Score (factored),,,,,,20.00
Deductions: Falls: -2.00,,,,,,-2.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
9 Stacey KEMP / David KING,GBR,38.60  23.32,,,16.28,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2LzTw3  4.00 -0.12,-1 0 0 0,-1 -1 0 0,,0,0 - -,3.88
2 2Lo  1.50 -0.18,-1 0 0 -1,0 0 -1 -1,,0,0 - -,1.32
3 3LoTh  5.00 -2.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,3.00
4 BoDs1  3.00 -0.70,0 0 0 -1,-1 -1 -1 -1,,0,-1 - -,2.30
5 SpSq3  3.10  0.00,0 -1 0 0,0 0 -1 0,,-1,0 - -,3.10
6 FCCoSp2  2.50 -0.42,-2 -2 -1 -2,-1 -1 0 -1,,-1,-2 - -,2.08
7 4Li4  4.00 -0.30,-1 -1 -1 -1,-1 0 -1 -1,,-1,-1 - -,3.70
8 PCoSp3  4.00 -0.06,-1 -1 0 -1,0 0 0 0,,0,0 - -,3.94
27.10,,,,,,23.32
Program Components Factor,,,,,,
Skating Skills  0.80,3.75 4.00 4.50 4.50,4.00 4.25 3.75 4.50,,4.25,4.25 - -,4.15
Transition / Linking Footwork  0.80,3.50 3.50 4.00 4.00,3.75 4.00 3.75 4.25,,4.00,4.25 - -,3.95
Performance / Execution  0.80,3.50 3.75 4.50 4.00,3.75 4.50 4.00 4.25,,4.00,4.00 - -,4.00
Choreography / Composition  0.80,3.75 4.00 4.50 4.50,3.75 4.25 4.25 4.25,,4.50,4.25 - -,4.15
Interpretation  0.80,3.75 3.75 4.25 4.25,3.50 4.50 4.25 4.25,,4.25,4.00 - -,4.10
Judges Total Program Component Score (factored),,,,,,16.28
Deductions: Falls: -1.00,,,,,,-1.00
Printed: 09/11/2006 20:47:00,,,,,,
