Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
7 3Lo+3T+SEQ 7.9x -0.60 0 -1 0 0 -2,0 -2 1,,-2 0 - -,7.30
8 3S+2T+2Lo 8.0x 0.00 0 0 0 0 0,0 0 1,,-1 0 - -,8.00
9 CSp3 1.8 0.40 0 2 1 1 1,0 1 1,,0 1 - -,2.20
10 3F 6.1x -0.60 0 0 -1 -1 -1,0 0 -2,,0 -1 - -,5.50
11 FSSp2 2.0 0.00 0 0 0 0 0,0 0 0,,0 0 - -,2.00
12 SlSt2 2.3 0.10 0 1 1 0 0,0 0 0,,0 0 - -,2.40
13 2A 3.6x 0.20 0 0 1 0 0,0 0 1,,0 0 - -,3.80
14 CCoSp4 3.5 0.10 1 0 1 0 0,0 0 1,,-1 0 - -,3.60
61.8,,,,61.60
Program Components Factor,,,,
Skating Skills 2.00 7.25 6.50 7.00 6.75 6.75 6.50,6.75 6.25,,6.50 6.75 - -,6.60
Transition / Linking Footwork 2.00 6.50 6.50 6.75 6.75 6.25 6.25,6.50 6.50,,6.25 7.00 - -,6.45
Performance / Execution 2.00 6.75 6.50 7.00 7.00 6.75 6.00,6.50 6.75,,6.75 6.50 - -,6.75
Choreography / Composition 2.00 6.75 6.75 7.00 7.00 6.50 6.00,6.50 6.75,,6.50 6.50 - -,6.70
Interpretation 2.00 6.50 6.75 7.00 7.00 6.75 6.25,6.75 7.00,,6.75 6.75 - -,6.85
Judges Total Program Component Score (factored),,,,66.70
Deductions:,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
6 Stefan LINDEMANN GER 125.98,58.48,,69.50,2.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 4T 9.0 -1.00 2 -1 -1 -1 0,0 -2 -2,,-2 2 - -,8.00
2 3A 7.5 -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,4.50
3 CSSp3 2.1 0.20 0 1 1 0 0,1 0 0,,0 1 - -,2.30
4 CiSt2 2.3 0.60 0 2 2 1 1,1 1 1,,0 1 - -,2.90
5 3Lo 5.0 0.40 1 2 1 0 0,0 1 1,,0 1 - -,5.40
6 3F+2T 6.8 0.80 1 1 1 0 1,1 0 1,,0 1 - -,7.60
7 CCoSp1 2.0 0.20 0 1 1 0 0,1 0 0,,-1 0 - -,2.20
8 3Lz 6.6x 1.20 1 2 2 1 1,1 1 1,,0 1 - -,7.80
9 3F 6.1x -1.00 -1 -1 -1 -1 -1,0 -1 -1,,-1 0 - -,5.10
10 FCSp2 2.0 0.00 0 1 0 0 0,0 0 0,,0 0 - -,2.00
11 3S 5.0x 0.40 2 1 0 0 0,1 0 1,,0 1 - -,5.40
12 3T 4.4x -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -2 - -,1.40
13 SlSt1 1.8 0.20 0 1 1 0 0,1 0 0,,0 0 - -,2.00
14 FSSp2 2.0 -0.12 0 0 0 0 -1,0 0 -1,,-1 0 - -,1.88
62.6,,,,58.48
Program Components Factor,,,,
Skating Skills 2.00 7.50 7.00 7.50 7.00 7.50 7.25,7.00 6.50,,6.75 7.00 - -,7.10
Transition / Linking Footwork 2.00 6.75 7.25 7.00 6.75 7.25 6.75,6.50 6.25,,6.50 7.25 - -,6.85
Performance / Execution 2.00 6.50 7.00 7.25 7.00 7.00 6.75,6.50 6.25,,6.75 7.00 - -,6.90
Choreography / Composition 2.00 7.00 6.75 7.25 7.00 7.25 6.75,6.75 6.75,,6.50 7.00 - -,6.90
Interpretation 2.00 7.00 7.00 7.25 7.00 7.00 7.00,6.75 7.00,,6.75 7.00 - -,7.00
Judges Total Program Component Score (factored),,,,69.50
Deductions: Falls: -2.00,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
7 Alban PREAUBERT FRA 124.80,65.60,,59.20,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3F+3T 9.5 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,9.50
2 3A 7.5 0.00 0 1 0 0 -1,0 0 0,,0 0 - -,7.50
3 3Lz+2T+2T 8.6 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,8.60
4 CSSp4 3.0 0.00 0 1 0 0 0,0 0 0,,0 0 - -,3.00
5 3Lo 5.0 0.40 1 1 0 1 0,0 1 1,,0 1 - -,5.40
6 3A+2T 8.8 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,8.80
7 CiSt3 3.1 0.00 0 1 0 0 0,0 0 0,,0 0 - -,3.10
8 CCoSp3 3.0 0.20 0 1 1 0 0,0 0 1,,0 0 - -,3.20
9 3F 6.1x -0.40 0 0 0 0 -1,0 0 -1,,-1 0 - -,5.70
10 2A 3.6x 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,3.60
11 FSSp3 2.3 0.00 0 0 0 1 0,0 0 0,,-1 0 - -,2.30
12 SlSt2 2.3 0.00 0 1 0 0 -1,0 0 0,,0 0 - -,2.30
13 2S 1.4x 0.00 -2 0 0 0 -1,0 0 0,,0 0 - -,1.40
14 SSp1 1.2 0.00 0 0 0 0 0,0 0 0,,0 0 - -,1.20
65.4,,,,65.60
Program Components Factor,,,,
Skating Skills 2.00 6.75 5.75 5.75 6.50 6.00 5.25,6.50 5.75,,5.25 5.75 - -,5.70
Transition / Linking Footwork 2.00 6.50 5.50 5.75 6.50 6.25 5.00,6.00 5.50,,5.25 5.75 - -,5.65
Performance / Execution 2.00 6.25 6.00 5.50 6.50 6.25 5.50,6.00 6.25,,5.75 5.50 - -,5.95
Choreography / Composition 2.00 6.50 6.00 5.75 6.75 6.50 5.75,6.25 6.00,,5.75 6.00 - -,6.00
Interpretation 2.00 6.75 6.25 6.00 6.75 6.75 6.00,6.00 6.50,,5.75 5.75 - -,6.30
Judges Total Program Component Score (factored),,,,59.20
Deductions:,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
8 Yasuharu NANRI JPN 108.94,55.04,,55.90,2.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3A+2T 8.8 0.40 1 1 0 0 0,1 0 1,,0 0 - -,9.20
2 3F+3T 9.5 0.20 1 1 0 0 0,1 0 0,,0 0 - -,9.70
3 Lo 0.0 0.00 0 -3 - -3,-3 -3 -3,,-1 -3 - -,0.00
4 FSSp3 2.3 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,2.30
5 3Lz 6.0 0.20 0 1 0 0 0,0 0 1,,0 1 - -,6.20
6 3A 7.5 -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,4.50
7 3Lz+COMBO 6.6x -2.00 -2 -2 -2 -2 -2,-2 -2 -2,,-2 -1 - -,4.60
