ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
7 Adrian SCHULTHEISS SWE,,66.31  37.46,,,28.85,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+3T  10.00  0.80 1 1 1 1,,0 1 1 1,,0,1 - -,10.80,
2 3A  8.20 -0.84 0 -1 0 -1,,0 -1 0 In-f1o,,0,-1 - -,7.36,Info
3 3F e  5.50 -1.40 -1 -1 -1 -1,,-2 -1 -1 -2,,-1,-2 - -,4.10,
4 CSSp4  3.00  0.30 1 1 0 0,,0 0 1 0,,1,1 - -,3.30,
5 CiSt3  3.30  0.10 1 1 1 0,,0 0 1 0,,0,0 - -,3.40,
6 FSSp4  3.00  0.10 1 0 0 0,,0 0 0 0,,0,1 - -,3.10,
7 SlSt2  2.30  0.00 0 0 0 0,,0 0 0 0,,1,0 - -,2.30,
8 CCoSp3  3.00  0.10 1 0 0 -1,,0 0 0 0,,0,1 - -,3.10,
38.30,,,,,,37.46,
Program Components Factor,,,,,,,
Skating Skills  1.00 5.25 6.25 6.50 5.75,,6.00 6.25 5.75 4.75,,6.25,5.75 - -,5.80,
Transition / Linking Footwork  1.00 5.00 6.00 5.75 5.50,,5.50 6.00 5.00 4.50,,6.00,5.50 - -,5.50,
Performance / Execution  1.00 5.75 6.00 6.00 5.75,,5.50 6.25 4.75 4.75,,6.25,6.00 - -,5.80,
Choreography / Composition  1.00 5.50 6.25 6.25 6.00,,5.75 6.00 5.00 4.75,,6.25,6.25 - -,5.95,
Interpretation  1.00 6.00 5.75 6.00 5.75,,5.50 6.00 5.75 4.50,,6.50,6.00 - -,5.80,
Judges Total Program Component Score (factored),,,,,,28.85,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
8 Yasuharu NANRI JPN,,63.87  35.72,,,28.15,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A  3.50 -0.48 0 -1 0 -1,,-1 -1 0 0,,0,-1 - -,3.02,
2 3F+3T  9.50  0.00 -1 -1 0 0,,0 0 0 1,,0,1 - -,9.50,
3 3Lz  6.00  1.00 1 1 1 1,,1 1 1 1,,1,2 - -,7.00,
4 CSSp4  3.00  0.40 1 0 1 1,,1 0 1 1,,0,1 - -,3.40,
5 FSSp4  3.00  0.20 1 1 0 2,,0 -1 0 0,,0,0 - -,3.20,
6 CiSt2  2.30  0.00 1 0 0 0,,0 0 0 0,,0,0 - -,2.30,
7 CCoSp4  3.50  0.40 0 1 1 1,,0 0 0 1,,1,2 - -,3.90,
8 SlSt3  3.30  0.10 0 0 0 0,,0 0 1 0,,1,1 - -,3.40,
34.10,,,,,,35.72,
Program Components Factor,,,,,,,
Skating Skills  1.00 5.25 5.25 6.25 6.00,,6.00 5.50 5.25 6.00,,5.75,6.00 - -,5.80,
Transition / Linking Footwork  1.00 4.25 5.00 5.75 5.00,,5.50 5.00 4.50 6.00,,5.50,6.25 - -,5.40,
Performance / Execution  1.00 5.00 5.25 6.50 5.50,,5.50 5.25 5.00 6.00,,5.75,5.75 - -,5.55,
Choreography / Composition  1.00 5.50 5.50 6.25 5.50,,5.75 5.00 5.00 6.25,,5.75,6.25 - -,5.75,
Interpretation  1.00 5.50 5.00 6.25 5.75,,5.50 5.25 4.50 6.00,,5.75,5.75 - -,5.65,
Judges Total Program Component Score (factored),,,,,,28.15,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
9 Anton KOVALEVSKI UKR,,58.84  32.94,,,25.90,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A  3.50  0.00 1 0 1 0,,0 0 -1 0,,0,0 - -,3.50,
2 3F+3T e  9.50 -1.20 -2 -1 -1 -1,,-1 -1 -1 In-f2o,,-1,-1 - -,8.30,Info
3 3Lz  6.00 -2.20 -2 -2 -2 -3,,-2 -2 -2 -2,,-2,-3 - -,3.80,
4 FSSp4  3.00  0.30 0 1 0 1,,0 0 0 1,,0,1 - -,3.30,
5 SlSt3  3.30  0.50 1 1 1 1,,1 0 1 1,,1,1 - -,3.80,
6 CSSp4  3.00 -0.06 0 -1 -1 -1,,0 0 1 0,,0,1 - -,2.94,
7 CiSt3  3.30  0.10 0 0 1 1,,0 0 0 1,,0,0 - -,3.40,
8 CCoSp4  3.50  0.40 -2 1 1 1,,0 1 1 1,,1,1 - -,3.90,
35.10,,,,,,32.94,
Program Components Factor,,,,,,,
Skating Skills  1.00 4.50 5.50 6.50 5.50,,5.75 5.25 4.75 4.50,,5.50,5.25 - -,5.25,
Transition / Linking Footwork  1.00 4.00 5.00 6.25 4.75,,5.50 4.75 4.50 4.50,,5.25,4.25 - -,4.75,
Performance / Execution  1.00 5.25 5.50 6.50 5.25,,5.50 5.00 5.00 4.75,,5.50,5.50 - -,5.40,
Choreography / Composition  1.00 5.00 5.25 6.75 5.25,,5.75 5.00 4.75 4.75,,5.75,5.00 - -,5.25,
Interpretation  1.00 5.25 5.00 6.75 5.25,,5.50 5.00 4.75 4.50,,5.75,5.25 - -,5.25,
Judges Total Program Component Score (factored),,,,,,25.90,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
10 Peter LIEBERS GER,,58.27  33.62,,,24.65,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+3T  10.00  0.60 0 0 1 1,,0 0 1 1,,1,1 - -,10.60,
2 2A  3.50  0.40 1 0 1 1,,0 0 0 1,,0,0 - -,3.90,
3 3Lo  5.00  0.20 0 0 0 1,,0 0 0 0,,1,0 - -,5.20,
4 CiSt2  2.30  0.00 0 0 0 0,,0 0 0 0,,0,0 - -,2.30,
5 CCoSp3  3.00  0.10 1 0 0 0,,-1 0 1 1,,0,0 - -,3.10,
6 FSSp3  2.60 -0.24 -1 -1 0 -1,,-1 0 0 0,,0,-2 - -,2.36,
7 SlSt3  3.30 -0.14 0 0 -1 -1,,0 0 -1 0,,0,-2 - -,3.16,
8 CSSp4  3.00  0.00 0 -1 0 0,,0 0 0 0,,1,0 - -,3.00,
32.70,,,,,,33.62,
Program Components Factor,,,,,,,
Skating Skills  1.00 5.00 5.00 5.75 5.25,,5.50 5.00 4.75 4.50,,5.25,5.25 - -,5.15,
