2006 NHK Trophy,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
"",NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,,Score Score,,Score (factored),
"",,,= +,,+,-
1 Mao ASADA,JPN,,130.02  70.18,,59.84,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
10 SpSq4  3.40  0.40,1 0 1 1,,0 0 0 1,,1,0 - -,3.80
11 1F  0.55 x -0.02,0 -2 0 0,,-1 0 1 0,,-1,-1 - -,0.53
12 2A+1T+1Lo  4.62 x  0.00,0 -1 0 -1,,0 0 0 0,,0,0 - -,4.62
13 CCoSp2  2.50  0.20,1 0 0 0,,1 0 1 0,,1,0 - -,2.70
37.62,,,,,,,34.96
Program Components Factor,,,,,,,
Skating Skills  1.60,6.00 6.00 6.00 5.75,,5.50 6.75 6.00 5.75,,6.00,5.75 - -,5.85
Transition / Linking Footwork  1.60,4.75 5.25 5.50 5.50,,5.25 6.75 6.00 5.25,,5.75,5.50 - -,5.50
Performance / Execution  1.60,4.75 5.00 5.75 5.50,,5.75 6.50 6.25 5.50,,5.75,5.75 - -,5.75
Choreography / Composition  1.60,4.75 5.25 5.75 5.75,,5.50 6.50 6.00 5.75,,5.75,5.75 - -,5.75
Interpretation  1.60,4.75 5.00 5.75 5.75,,5.75 6.75 6.25 5.50,,5.50,5.75 - -,5.80
Judges Total Program Component Score (factored),,,,,,,45.84
Deductions: Falls:,-2.00,,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
8 Arina MARTINOVA,RUS,,78.65  36.53,,,45.12,3.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz  6.00 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,3.00
2 3T  4.00  0.60,1 1 0 1,,1 1 0 0,,1,0 - -,4.60
3 3F<  1.70 -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.70
4 2S  1.30 -0.06,0 0 0 0,,-1 0 0 0,,0,-1 - -,1.24
5 FCSp1  1.70  0.00,-1 0 0 0,,0 0 0 0,,0,0 - -,1.70
6 3Lz+SEQ  4.80 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,1.80
7 CoSp3  2.50  0.30,1 0 0 1,,0 1 0 0,,0,1 - -,2.80
8 3T+2T<  4.84 x -1.00,-1 -2 -2 -2,,-1 0 -1 -2,,-1,0 - -,3.84
9 SpSq4  3.40  1.00,1 1 0 1,,1 1 1 1,,1,1 - -,4.40
