ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
7 Chafik BESSEGHIER FRA  1,,113.96  58.58,,55.38,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4S<< <<  4.20 -2.00 -2 -3 -3,,-3 -3 -2 -3,,-3 -3,2.20,
2 3A  8.50 -2.00 -2 -2 -2,,-2 -2 -2 -1,,-2 -2,6.50,
3 3Lz  6.00  0.10 0 0 1,,1 0 0 0,,0 -1,6.10,
4 CiSt2  2.60  0.29 0 1 0,,1 0 0 1,,1 1,2.89,
"",,Info,,,,Info
5 FCSp2  2.30  0.00 0 0 0,,0 0 0 1,,0 0,2.30,
6 3A+2T  10.78 x -0.29 -1 0 0,,-1 0 0 0,,0 -2,10.49,
7 3Lo  5.61 x -1.00 -2 -1 -1,,-2 -1 -1 -2,,-1 -2,4.61,
8 3T+2T  5.94 x  0.00 0 0 0,,0 1 0 0,,0 0,5.94,
9 3S+2T+2T  7.48 x -0.10 -1 0 0,,0 0 0 0,,-1 0,7.38,
10 2A  3.63 x -0.43 -1 0 -1,,-1 -1 -1 0,,-1 -1,3.20,
11 ChSt1  2.00  0.50 1 0 0,,0 1 1 1,,1 1,2.50,
12 CCoSp2  2.50  0.00 0 1 0,,0 0 0 0,,0 0,2.50,
13 CSSp1  1.90  0.07 0 0 0,,0 1 0 1,,-2 0,1.97,
63.44,,,,,58.58,
Program Components Factor,,,,,,
Skating Skills  2.00 5.75 5.75 6.00,,5.50 5.75 5.75 5.75,,5.75 6.25,5.79,
Transition / Linking Footwork  2.00 6.00 5.25 5.00,,5.75 5.25 5.50 5.25,,4.50 5.00,5.29,
Performance / Execution  2.00 5.50 5.50 5.75,,5.25 5.50 5.75 5.00,,5.75 6.00,5.57,
Choreography / Composition  2.00 5.50 5.75 5.50,,5.75 5.25 5.50 5.25,,5.50 5.50,5.50,
Interpretation  2.00 5.00 5.50 5.75,,5.50 5.50 5.75 5.50,,5.25 5.75,5.54,
Judges Total Program Component Score (factored),,,,,55.38,
Deductions:,,,,,0.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
8 Romain PONSART FRA  2,,110.42  54.94,,56.48,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  7.20 -3.00 -3 -3 -3,,-3 -3 -3 -3,,-3 -3,4.20,
2 3A  8.50  0.86 1 1 0,,1 2 1 1,,1 0,9.36,
3 3Lo  5.10 -0.70 -1 -1 -1,,-1 -1 -2 -1,,-1 -1,4.40,
4 CiSt2  2.60  0.07 1 1 0,,0 0 0 0,,0 0,2.67,
5 FUSp2  2.00  0.21 0 1 0,,1 1 0 0,,1 0,2.21,
6 2A  3.63 x -1.43 -3 -3 -3,,-2 -3 -3 -2,,-3 -3,2.20,
7 3Lo+2T  7.04 x -0.30 -1 -1 0,,0 0 -1 -2,,0 0,6.74,
8 3Lz+2T  8.03 x  0.10 1 0 0,,-1 1 0 -1,,1 0,8.13,
9 CSSp2  2.30  0.29 0 0 0,,1 1 1 0,,1 1,2.59,
10 1F e  0.55 x -0.09 -1 -1 -1,,-1 0 -1 -1,,0 -2,0.46,
11 3S+2T+2T  7.48 x  0.00 0 0 0,,0 0 0 0,,0 0,7.48,
12 CCoSp1  2.00  0.00 0 0 0,,0 0 0 0,,0 0,2.00,
13 ChSt1  2.00  0.50 1 0 0,,1 1 1 0,,1 1,2.50,
58.43,,,,,54.94,
Program Components Factor,,,,,,
Skating Skills  2.00 6.00 6.00 6.00,,5.50 6.25 6.00 5.75,,6.25 5.50,5.93,
Transition / Linking Footwork  2.00 5.00 5.50 5.50,,4.75 5.25 5.00 5.50,,4.75 5.00,5.14,
Performance / Execution  2.00 5.50 6.25 6.00,,5.00 6.00 5.75 5.75,,5.25 5.75,5.71,
Choreography / Composition  2.00 6.00 6.00 5.75,,5.25 6.00 5.75 5.75,,5.50 5.50,5.75,
Interpretation  2.00 6.25 6.00 6.25,,5.00 5.75 5.50 5.25,,5.75 5.50,5.71,
Judges Total Program Component Score (factored),,,,,56.48,
Deductions: Falls: -1.00,,,,,-1.00,
