Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
Skating Skills  2.00 7.00 7.00 7.25,,7.00,7.00 7.50 6.75 7.25,,6.50,7.00 - -,7.00
Transition / Linking Footwork  2.00 7.25 7.00 7.00,,7.00,6.50 7.50 6.50 7.50,,6.25,7.00 - -,6.95
Performance / Execution  2.00 7.50 7.25 7.00,,7.25,7.00 7.75 7.00 7.75,,6.25,7.00 - -,7.15
Choreography / Composition  2.00 7.50 7.50 7.25,,7.50,7.00 7.50 6.75 7.75,,6.75,7.25 - -,7.25
Interpretation  2.00 7.75 7.75 7.25,,7.50,6.75 7.50 7.00 8.00,,6.75,7.25 - -,7.35
Judges Total Program Component Score (factored),,,,,,,71.40
Deductions: Falls: -1.00,,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
4 Takahiko KOZUKA JPN,,,135.33  74.83,,,60.50,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00 -0.20 0 0 0,,-1,0 -1 0 -1,,0,-1 - -,9.80
2 3A  7.50 -1.00 -1 -1 -1,,-1,-1 -1 -1 -1,,-1,-2 - -,6.50
3 3A+2T  8.80  0.00 0 0 0,,0,1 0 0 0,,0,-1 - -,8.80
4 CiSt1  1.80  0.10 0 1 1,,1,1 0 0 1,,0,0 - -,1.90
5 FSSp4  3.00  0.50 1 1 1,,1,1 0 1 0,,1,1 - -,3.50
6 FCCoSp4  3.50  0.50 1 1 1,,1,2 1 2 1,,1,1 - -,4.00
7 3F+2T+2Lo  9.13 x  0.40 1 0 1,,1,1 0 1 0,,0,-1 - -,9.53
8 3Lo  5.50 x -1.00 0 -2 -1,,-1,-1 -1 -1 -1,,-1,-1 - -,4.50
9 3S  4.95 x  0.60 1 1 1,,1,0 0 1 0,,0,0 - -,5.55
10 3Lz  6.60 x  0.20 1 1 -1,,0,0 0 0 -1,,0,0 - -,6.80
11 FCSSp4  3.00  0.50 1 1 1,,0,1 1 1 -1,,0,1 - -,3.50
12 SlSt1  1.80  0.40 0 2 1,,0,1 1 1 0,,1,0 - -,2.20
13 2A  3.85 x  0.80 1 0 1,,1,1 1 1 0,,1,0 - -,4.65
14 CCoSp3  3.00  0.60 1 2 1,,1,1 2 1 1,,1,1 - -,3.60
72.43,,,,,,,74.83
Program Components Factor,,,,,,,
Skating Skills  2.00 6.75 6.50 6.75,,6.75,7.00 6.75 6.50 6.50,,6.75,5.75 - -,6.65
Transition / Linking Footwork  2.00 6.25 6.00 6.25,,6.00,6.25 5.50 5.50 6.25,,5.50,5.50 - -,5.75
Performance / Execution  2.00 6.25 6.00 6.50,,6.00,6.75 5.75 5.75 6.50,,5.75,5.50 - -,5.90
Choreography / Composition  2.00 6.50 5.75 6.50,,6.00,6.75 6.25 5.75 6.25,,5.75,5.50 - -,6.00
Interpretation  2.00 6.50 5.75 6.50,,6.25,6.75 6.25 5.50 6.00,,5.75,5.50 - -,5.95
Judges Total Program Component Score (factored),,,,,,,60.50
Deductions:,,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
5 Andrei GRIAZEV RUS,,,135.18  69.68,,,65.50,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz  6.00  0.80 1 1 1,,1,1 0 2 1,,0,1 - -,6.80
2 3A  7.50  1.20 1 2 2,,2,1 1 1 1,,0,1 - -,8.70
3 3F  5.50  0.40 1 1 0,,1,1 0 0 0,,0,1 - -,5.90
4 3A+2T  8.80 -1.00 0 0 -2,,-1,-1 -1 -1 -2,,-1,-2 - -,7.80
5 FSSp3  2.30  0.30 0 1 0,,0,0 1 1 0,,0,1 - -,2.60
6 SeSt2  2.30  0.00 0 1 0,,0,1 0 0 0,,0,0 - -,2.30
7 CCoSp3  3.00  0.50 0 2 1,,1,1 1 1 0,,1,1 - -,3.50
8 2A  3.85 x  1.00 1 1 1,,1,1 1 1 1,,0,1 - -,4.85
9 3Lo  5.50 x  0.60 1 1 1,,1,1 0 1 0,,0,0 - -,6.10
10 3F+2T  7.48 x  0.00 1 0 0,,0,0 0 0 0,,0,0 - -,7.48
11 3S  4.95 x  0.00 0 0 0,,1,0 0 0 0,,0,1 - -,4.95
12 CSSp4  3.00  0.40 1 1 0,,0,0 1 1 0,,0,1 - -,3.40
13 SlSt2  2.30  0.30 0 1 1,,0,1 1 1 1,,0,0 - -,2.60
14 CoSp3  2.50  0.20 1 1 0,,0,0 0 0 0,,0,1 - -,2.70
64.98,,,,,,,69.68
Program Components Factor,,,,,,,
Skating Skills  2.00 7.00 7.25 7.00,,6.50,7.00 6.75 6.50 6.50,,6.50,7.00 - -,6.85
Transition / Linking Footwork  2.00 6.50 6.50 6.50,,6.25,6.50 5.75 6.00 5.75,,6.25,6.75 - -,6.35
Performance / Execution  2.00 6.75 6.25 6.75,,7.00,7.00 6.25 6.75 6.50,,6.25,7.00 - -,6.55
Choreography / Composition  2.00 6.50 6.25 6.75,,7.00,7.00 6.25 6.50 6.25,,6.25,7.25 - -,6.45
Interpretation  2.00 6.75 6.25 6.75,,7.25,7.00 6.50 6.50 6.25,,6.25,7.00 - -,6.55
Judges Total Program Component Score (factored),,,,,,,65.50
Deductions:,,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
6 Kevin REYNOLDS CAN,,,127.23  74.03,,,53.20,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4S+3T+2Lo  15.00  0.60 1 1 0,,0,1 1 1 1,,0,0 - -,15.60
2 4T  9.00 -1.00 -1 -1 -1,,-1,-1 -1 -1 -1,,-1,-1 - -,8.00
3 3F  5.50 -1.00 -1 -1 -1,,-1,-1 -1 -1 -1,,-1,-1 - -,4.50
4 SlSt1  1.80  0.00 0 0 0,,0,0 0 0 0,,0,0 - -,1.80
5 FCoSp3  2.50  0.00 0 0 0,,0,0 0 0 1,,0,0 - -,2.50
6 2A  3.85 x  0.40 0 0 1,,1,0 0 1 0,,0,1 - -,4.25
7 3Lz+3T e  11.00 x -1.20 -1 -2 -1,,-2,-1 -1 -1 -2,,-2,-1 - -,9.80
8 3Lo  5.50 x  0.00 0 0 0,,0,0 0 0 0,,0,0 - -,5.50
9 3Lz+2T  8.03 x -0.40 1 -1 0,,0,0 -1 0 0,,0,-1 - -,7.63
10 FUSp4  3.00  0.20 0 0 0,,1,1 1 0 0,,1,1 - -,3.20
11 CiSt1  1.80  0.00 0 -1 0,,0,0 0 0 0,,0,0 - -,1.80
12 3S  4.95 x  0.00 1 0 0,,1,0 0 0 0,,0,0 - -,4.95
13 CUSp3  2.30  0.20 0 1 0,,0,0 1 1 1,,0,0 - -,2.50
14 CCoSp1  2.00  0.00 0 0 0,,-1,1 1 0 -1,,0,-1 - -,2.00
76.23,,,,,,,74.03
Program Components Factor,,,,,,,
Skating Skills  2.00 6.00 4.75 5.75,,5.50,6.00 5.25 6.00 5.75,,5.25,5.25 - -,5.50
Transition / Linking Footwork  2.00 5.50 4.50 5.25,,5.00,5.50 5.00 5.00 5.50,,5.00,5.25 - -,5.10
Performance / Execution  2.00 5.50 4.50 5.50,,6.00,5.75 5.00 5.50 5.25,,5.00,5.50 - -,5.30
Choreography / Composition  2.00 5.25 4.75 5.50,,5.75,5.50 5.50 5.25 5.75,,5.50,5.50 - -,5.40
Interpretation  2.00 5.50 4.00 5.50,,5.50,5.50 5.00 5.75 5.25,,5.25,5.25 - -,5.30
Judges Total Program Component Score (factored),,,,,,,53.20
Deductions:,,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of Russia,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
7 Alexander USPENSKI RUS,,,125.43  67.03,,58.40,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 4T  9.00 -2.00 -2 -2 -2,,-2,-2 -2 -2 -3,,-3 -2 - -,7.00
2 3A+2T  8.80  0.00 0 -1 0,,0,1 0 1 0,,0 0 - -,8.80
3 3A  7.50 -0.80 -1 -2 0,,0,-1 -2 0 -1,,0 -1 - -,6.70
4 3F+2T  6.80  0.00 1 0 0,,0,0 0 0 0,,0 0 - -,6.80
5 CSSp3  2.30  0.30 0 0 1,,0,1 1 0 1,,1 1 - -,2.60
6 SlSt2  2.30  0.10 0 1 0,,0,1 0 1 0,,0 0 - -,2.40
7 3Lz+2T  8.03 x -0.20 0 -1 0,,0,0 -1 1 0,,0 0 - -,7.83
8 3Lo  5.50 x  0.60 0 0 1,,1,1 1 1 1,,0 1 - -,6.10
9 CCoSp3  3.00  0.00 0 0 0,,1,1 0 0 0,,0 0 - -,3.00
10 2A  3.85 x  0.00 0 -1 0,,0,0 0 0 0,,0 0 - -,3.85
11 3S  4.95 x  0.00 1 -1 0,,1,0 0 0 0,,0 0 - -,4.95
12 CoSp2  2.10  0.00 0 -1 0,,0,0 0 0 0,,0 0 - -,2.10
13 CiSt1  1.80  0.30 0 1 1,,1,1 0 2 1,,1 0 - -,2.10
14 FSSp3  2.30  0.50 1 1 1,,1,1 1 1 -1,,1 -1 - -,2.80
68.23,,,,,,67.03
Program Components Factor,,,,,,
Skating Skills  2.00 5.75 5.25 6.25,,6.00,6.75 6.50 6.50 5.75,,6.00 5.75 - -,6.05
Transition / Linking Footwork  2.00 5.25 4.75 5.75,,5.25,6.00 5.25 5.75 5.25,,5.00 5.75 - -,5.40
Performance / Execution  2.00 5.50 5.50 6.00,,6.25,6.75 6.50 6.50 5.75,,5.75 6.25 - -,6.00
Choreography / Composition  2.00 5.25 5.50 6.00,,5.75,6.75 5.25 6.25 5.50,,6.00 6.25 - -,5.80
Interpretation  2.00 5.25 5.25 6.00,,6.00,6.50 6.00 6.75 6.00,,6.00 6.50 - -,5.95
Judges Total Program Component Score (factored),,,,,,58.40
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
8 Kristoffer BERNTSSON SWE,,,122.38  61.08,,61.30,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3A+SEQ  6.00 -2.00 -1 -2 -2,,-2,-2 -2 -2 -2,,-2 -2 - -,4.00
2 3Lz+2T+2Lo  8.80  0.40 0 0 1,,1,0 0 1 0,,0 1 - -,9.20
3 3A  7.50  0.40 1 1 0,,0,1 0 1 1,,0 0 - -,7.90
4 3Lo  5.00  0.60 1 1 1,,1,1 0 0 1,,0 1 - -,5.60
5 3F+2T  6.80 -1.00 -1 -1 -1,,-1,-1 -1 -1 -1,,-1 -1 - -,5.80
