MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
3 3A 7.5 -3.00,-3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 -3 -3,4.50
4 CCoSp3 3.0 0.00,0 0 0 0 0,1 0 0,,0 0 0 0,3.00
5 3A+2T+2T+SEQ 7.0 -2.00,-2 -3 -2 -2 -2,-2 -2 -2,,-2 -2 -2 -2,5.00
6 3S 5.0x 0.00,0 0 0 0 1,0 0 0,,0 1 0 0,5.00
7 CSSp2 1.7 0.00,0 0 0 0 0,1 0 0,,0 0 0 1,1.70
8 3Lz 6.6x -1.57,-1 -2 -2 -1 -1,-1 -2 -2,,-2 -1 -2 -1,5.03
9 3Lo 5.5x -1.86,-1 -2 -1 -2 -2,-2 -2 -2,,-2 -2 -1 -2,3.64
10 3T 4.4x 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,4.40
11 FSSp3 2.3 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,2.30
12 SlSt2 2.3 0.07,0 0 0 0 0,1 0 1,,0 0 0 1,2.37
13 CiSt1 1.8 0.00,0 0 0 0 0,1 0 0,,0 0 0 1,1.80
14 FSSp3 2.3 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,2.30
68.4,,,,,60.47
Program Components Factor,,,,,
Skating Skills 2.00,7.25 6.75 6.50 7.25 7.25 7.75,7.00 7.25,,7.25 7.00 6.75 7.00,7.11
Transition / Linking Footwork 2.00,7.00 6.75 6.25 7.00 6.75 6.75,6.50 6.75,,6.75 6.50 6.00 6.75,6.71
Performance / Execution 2.00,7.00 7.00 6.50 6.75 7.00 7.25,6.75 7.00,,7.00 6.75 6.25 6.75,6.89
Choreography / Composition 2.00,7.25 7.25 7.00 6.75 7.00 7.25,6.50 7.00,,7.00 7.00 6.25 6.50,6.96
Interpretation 2.00,7.00 7.25 6.50 7.00 7.25 7.25,6.50 7.25,,7.25 7.25 6.50 6.75,7.07
Judges Total Program Component Score (factored),,,,,69.48
Deductions: Falls: -1.00,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
"",=,+,,+,-
6 Ivan DINEV,BUL 122.88,62.10,,60.78,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 3F+2T 6.8 0.29,0 1 0 1 1,0 0 1,,0 0 0 1,7.09
2 3A+3T 11.5 1.00,1 2 1 0 1,2 0 1,,0 1 2 1,12.50
3 3Lz 6.0 0.57,0 0 0 1 0,0 0 1,,1 1 1 1,6.57
4 2A 3.3 0.71,1 1 0 0 0,2 0 1,,1 1 0 1,4.01
5 CCoSp3 3.0 0.07,0 1 0 0 0,1 0 0,,0 0 0 0,3.07
6 3A 8.3x -0.71,-1 -1 0 -1 0,0 -1 0,,-1 -1 0 -1,7.59
7 FSSp3 2.3 0.00,0 0 0 0 0,0 0 1,,0 -1 0 0,2.30
8 CiSt1 1.8 0.00,0 1 0 0 0,0 0 0,,0 0 0 0,1.80
9 2Lo 1.7x 0.00,0 0 0 -1 0,0 0 0,,0 0 0 0,1.70
10 3T 4.4x 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,4.40
11 3S 5.0x -0.43,0 -1 -1 0 -1,-1 0 0,,-1 -1 0 -1,4.57
12 CSSp2 1.7 0.00,0 0 0 0 -1,-1 0 0,,0 0 0 0,1.70
13 SlSt2 2.3 0.00,0 1 0 0 0,0 0 0,,0 0 0 1,2.30
14 CoSp3 2.5 0.00,0 0 0 0 -1,0 0 0,,0 0 0 0,2.50
60.6,,,,,62.10
Program Components Factor,,,,,
Skating Skills 2.00,6.00 6.25 6.00 6.25 6.00 7.00,6.75 6.50,,6.25 5.75 6.50 6.25,6.36
Transition / Linking Footwork 2.00,5.75 5.50 5.50 5.75 5.50 5.75,5.75 5.50,,6.00 5.50 6.25 5.75,5.71
Performance / Execution 2.00,6.00 6.25 5.75 6.00 5.50 6.75,6.00 6.00,,6.25 5.75 6.75 6.00,6.18
Choreography / Composition 2.00,5.75 5.75 6.00 5.75 5.75 6.50,5.75 6.00,,6.00 5.75 6.50 6.00,5.93
Interpretation 2.00,6.00 6.25 5.75 6.00 5.75 6.50,6.25 6.25,,6.25 6.00 6.50 6.25,6.21
Judges Total Program Component Score (factored),,,,,60.78
Deductions:,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
"",=,+,,+,-
7 Kevin VAN DER PERREN,BEL 122.34,57.12,,65.22,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 4T 9.0 -1.57,-1 -2 -2 -1 -2,-1 -2 -2,,-2 -1 -2 -1,7.43
2 3A 7.5 -1.71,-1 -1 -1 -1 -1,-2 -2 -2,,-2 -2 -2 -2,5.79
3 3F+3T 9.5 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,9.50
4 CiSt1 1.8 0.36,1 1 0 0 1,1 1 0,,1 1 0 1,2.16
5 3F 6.1x 0.86,1 1 0 1 0,0 1 1,,1 1 0 1,6.96
6 3Lz 6.6x 0.86,1 1 0 1 1,0 1 1,,1 1 0 1,7.46
7 3S 5.0x 0.14,0 1 0 0 0,-1 0 1,,1 -1 0 0,5.14
8 FCoSp2 2.1 0.00,0 0 0 0 0,0 0 0,,0 0 0 1,2.10
9 SSp3 1.8 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,1.80
10 2A 3.6x -1.20,-1 -2 -1 -1 -1,-2 -2 -2,,-2 -2 -1 -2,2.40
11 CCoSp1 2.0 0.00,0 0 0 0 -1,0 0 0,,0 0 0 0,2.00
12 SlSt1 1.8 0.14,0 0 0 0 1,0 0 1,,1 1 0 1,1.94
13 FSSp3 2.3 0.14,0 0 0 1 0,0 0 1,,0 1 0 1,2.44
59.1,,,,,57.12
Program Components Factor,,,,,
Skating Skills 2.00,7.00 6.50 6.25 7.00 6.50 6.50,6.50 6.50,,6.50 6.25 6.75 6.50,6.61
Transition / Linking Footwork 2.00,6.75 6.50 6.25 6.75 6.00 6.25,6.00 5.75,,6.25 6.00 6.25 6.25,6.29
Performance / Execution 2.00,7.00 6.50 6.50 6.75 6.50 7.00,6.25 6.50,,6.50 6.25 6.50 6.25,6.57
Choreography / Composition 2.00,6.75 6.50 6.50 6.75 6.75 7.00,6.25 6.25,,6.25 6.50 6.50 6.25,6.50
Interpretation 2.00,7.00 7.00 6.25 6.75 6.75 7.25,6.00 6.50,,6.25 6.50 6.50 6.50,6.64
Judges Total Program Component Score (factored),,,,,65.22
Deductions:,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
"",=,+,,+,-
8 Alban PREAUBERT,FRA 121.10,62.04,,61.06,2.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 3F+3T 9.5 0.14,0 0 0 0 0,0 1 0,,0 1 0 -1,9.64
2 3A 7.5 -0.57,-1 -1 0 -1 0,-1 0 0,,0 0 -1 -1,6.93
3 3Lz 6.0 -3.00,-3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 -3 -3,3.00
4 CSSp4 3.0 0.00,0 0 0 0 1,0 0 0,,0 0 0 1,3.00
5 3Lo 5.0 -2.00,-2 -2 -2 -2 -2,-2 -2 -2,,-2 -2 -2 -2,3.00
6 3A+2T 8.8 -0.14,-1 0 0 0 0,-1 0 0,,0 0 0 -1,8.66
7 CiSt3 3.1 0.00,0 0 0 0 0,1 0 0,,0 0 0 1,3.10
8 CCoSp4 3.5 0.07,0 0 0 0 1,1 0 0,,0 1 0 0,3.57
9 3F 6.1x 0.00,0 0 0 0 -1,-1 0 0,,0 0 0 0,6.10
10 2A+2T 5.1x -1.60,-3 -2 -3 -2 -2,-2 -2 -3,,-2 -3 -2 -3,3.50
11 FSSp3 2.3 0.07,1 0 0 0 0,1 0 0,,0 0 0 0,2.37
12 SlSt1 1.8 0.07,0 0 0 0 0,1 0 1,,0 0 0 1,1.87
13 3S 5.0x 0.00,0 -1 0 0 0,0 0 0,,0 0 0 0,5.00
14 FSSp3 2.3 0.00,0 0 0 0 0,1 0 0,,0 0 0 0,2.30
69.0,,,,,62.04
Program Components Factor,,,,,
Skating Skills 2.00,6.00 5.75 6.25 6.00 6.00 6.25,6.50 6.25,,6.25 6.00 5.75 6.75,6.07
Transition / Linking Footwork 2.00,5.75 5.75 5.75 5.75 6.25 6.25,5.75 6.25,,6.00 6.00 5.50 6.50,5.89
Performance / Execution 2.00,5.75 6.25 6.00 5.75 6.75 6.50,5.75 6.25,,6.00 6.25 5.50 6.50,6.00
Choreography / Composition 2.00,6.25 6.00 6.25 6.00 6.75 6.75,6.00 6.50,,6.50 6.50 5.75 6.25,6.25
Interpretation 2.00,6.00 6.50 6.00 6.00 6.75 7.00,6.00 6.75,,6.25 6.75 6.00 6.25,6.32
Judges Total Program Component Score (factored),,,,,61.06
Deductions: Falls: -2.00,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
"",=,+,,+,-
9 Silvio SMALUN,GER 117.85,56.57,,62.28,1.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 3A+2T+SEQ 7.0 -2.00,-2 -2 -3 -1 -2,-2 -2 -2,,-2 -2 -2 -2,5.00
2 3F+2T 6.8 0.00,0 0 0 0 0,0 0 1,,-1 0 0 0,6.80
3 3A 7.5 -3.00,-3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 -3 -3,4.50
4 3Lz 6.0 0.71,0 1 0 0 1,1 1 2,,1 1 0 1,6.71
5 2Lo 1.5 0.14,0 0 0 0 1,1 0 1,,0 1 0 1,1.64
6 SSp3 1.8 0.07,0 0 0 0 0,1 0 1,,0 0 0 0,1.87
7 3F+3T 10.5x -0.14,-1 0 0 -1 1,0 1 0,,0 0 0 0,10.36
8 3S 5.0x 0.29,0 1 0 0 1,1 0 1,,0 0 0 1,5.29
9 FCoSp2 2.1 0.21,1 0 0 0 0,1 0 1,,0 1 0 0,2.31
10 CCoSp3 3.0 0.07,1 0 0 0 0,1 0 0,,0 0 0 1,3.07
11 CiSt1 1.8 0.21,0 1 0 0 1,1 0 1,,0 1 0 0,2.01
12 2A 3.6x -1.40,-2 -2 -2 -3 -2,-2 -2 -2,,-2 -2 -2 -3,2.20
13 SlSt2 2.3 0.14,0 0 0 0 1,1 0 1,,0 1 0 0,2.44
14 FSSp3 2.3 0.07,0 0 0 0 1,2 0 1,,0 0 0 0,2.37
61.2,,,,,56.57
Program Components Factor,,,,,
Skating Skills 2.00,5.75 6.50 6.50 5.75 6.25 7.00,7.00 6.75,,6.00 6.50 6.25 5.75,6.39
Transition / Linking Footwork 2.00,5.50 6.00 6.25 5.50 6.50 7.00,6.00 6.50,,6.00 6.25 5.75 5.50,6.00
Performance / Execution 2.00,5.75 6.50 6.50 5.50 6.25 7.00,6.25 6.25,,6.25 6.50 6.00 5.50,6.21
Choreography / Composition 2.00,5.75 6.25 6.75 5.25 6.25 7.50,6.25 7.00,,6.00 6.50 6.00 5.25,6.25
Interpretation 2.00,5.50 6.50 6.50 5.50 6.50 7.25,6.50 6.75,,6.25 6.50 6.00 5.50,6.29
Judges Total Program Component Score (factored),,,,,62.28
Deductions: Falls: -1.00,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
"",=,+,,+,-
10 Stefan LINDEMANN,GER 116.00,51.36,,65.64,1.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 3T 4.0 1.43,1 2 1 1 1,2 1 2,,1 2 1 1,5.43
2 1A 0.8 0.21,0 1 0 0 1,1 0 2,,1 0 0 0,1.01
3 CSSp3 2.1 0.29,1 1 0 0 1,2 0 1,,0 1 0 1,2.39
4 CiSt1 1.8 0.43,1 1 0 0 0,1 1 2,,1 1 0 1,2.23
5 3Lo 5.0 0.71,1 1 0 1 1,1 0 1,,0 1 0 1,5.71
6 2F 1.7 0.29,0 1 0 1 2,1 0 1,,1 0 0 0,1.99
7 CCoSp2 2.5 -0.13,0 0 -1 -1 0,-1 0 0,,0 -2 -1 0,2.37
8 3Lz 6.6x 0.29,0 1 0 -1 0,1 0 1,,0 0 0 0,6.89
9 3F+3T 10.5x -1.86,-1 -2 -2 -2 -2,-2 -2 -1,,-2 -2 -2 -2,8.64
10 FCSp2 2.0 0.00,0 0 0 0 0,0 0 -1,,0 0 0 1,2.00
11 3S 5.0x -2.00,-2 -3 -2 -2 -2,-2 -2 -2,,-2 -2 -2 -2,3.00
12 2A+2T 5.1x 0.00,0 0 0 0 0,-1 0 1,,0 0 0 0,5.10
13 SlSt1 1.8 0.21,0 1 0 0 1,1 0 1,,0 1 0 1,2.01
14 FSSp3 2.3 0.29,0 1 0 0 0,2 0 2,,0 1 0 0,2.59
51.2,,,,,51.36
Program Components Factor,,,,,
Skating Skills 2.00,6.75 6.50 6.50 7.00 6.50 7.75,6.50 7.25,,6.75 6.75 6.75 6.50,6.82
Transition / Linking Footwork 2.00,6.50 6.50 6.50 6.50 6.25 6.00,5.50 6.75,,6.50 6.50 6.50 6.25,6.43
Performance / Execution 2.00,6.75 6.25 6.25 6.75 6.00 6.00,5.75 7.00,,6.50 6.25 6.75 6.00,6.46
Choreography / Composition 2.00,6.50 6.50 6.50 6.50 6.25 6.50,6.00 7.25,,6.25 6.75 6.50 6.25,6.50
Interpretation 2.00,6.75 6.25 6.25 6.75 6.25 6.50,6.00 7.25,,6.50 6.75 6.75 6.00,6.61
Judges Total Program Component Score (factored),,,,,65.64
Deductions: Falls: -1.00,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
"",Total,Total,,Total,Total
Rank Name,NOC Segment,Element,,Program  Component,Deductions
"",Code Score,Score,,Score (factored),
"",=,+,,+,-
11 Gheorghe CHIPER,ROM 115.05,51.41,,64.64,1.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 3A 7.5 -3.00,-3 -3 -3 -3 -3,-2 -3 -3,,-3 -3 -3 -3,4.50
2 3A+1T 7.9 -1.14,-2 -1 -2 -1 -1,-2 -1 -1,,0 -1 -1 0,6.76
3 2Lz+2T+SEQ 2.6 -0.09,0 -2 0 0 0,-1 -1 0,,0 0 0 -1,2.51
4 CUSp3 2.1 -0.04,0 0 0 0 0,-2 0 0,,-1 0 0 0,2.06
5 2F+3T 5.7 -0.43,0 0 0 0 0,-1 -1 0,,-1 -1 0 0,5.27
6 CiSt2 2.3 0.29,1 1 0 0 1,2 0 1,,0 1 0 1,2.59
7 3S 5.0x -1.00,-1 -1 0 -1 -1,0 -1 -1,,-1 -1 -1 -1,4.00
8 CCoSp3 3.0 0.07,1 0 0 0 0,1 0 0,,0 0 0 1,3.07
9 2Lo 1.7x 0.00,0 0 0 0 0,0 0 0,,0 0 0 0,1.70
10 3Lz 6.6x 0.43,1 1 0 0 1,1 0 1,,0 0 0 1,7.03
11 2A 3.6x -0.10,0 0 0 0 0,-1 -1 0,,0 0 0 0,3.50
12 CCoSp3 3.0 -0.09,0 0 0 0 0,-1 0 0,,-1 -1 0 0,2.91
13 SlSt2 2.3 0.14,0 0 0 0 0,1 0 1,,0 1 0 1,2.44
14 FSSp4 3.0 0.07,0 0 0 0 0,1 0 1,,0 0 0 1,3.07
56.3,,,,,51.41
Program Components Factor,,,,,
