ISU GP Cup of China 2011,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Interpretation  1.60 7.00 5.75 7.25,6.75 6.75 6.75 7.25,,5.75 7.00,6.75,
Judges Total Program Component Score (factored),,,,54.01,
Deductions: Falls: -1.00,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
8 Bingwa GENG CHN  5,89.48  45.38,,45.10,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lz  6.00 -1.50 -2 -3 -2,-2 -2 -2 -2,,-2 -3,4.50,
2 2A+2T+2Lo  6.40  0.43 0 1 1,1 1 1 1,,1 0,6.83,
3 3T+2T  5.40 -0.80 -2 -2 -1,-1 0 -2 -2,,1 0,4.60,
4 CCoSp3  3.00  0.36 1 0 1,0 1 0 2,,1 1,3.36,
5 ChSp1  2.00  0.80 2 1 2,1 1 1 1,,1 1,2.80,
6 2Lz  2.31 x -0.09 0 -1 -1,-1 0 0 0,,0 0,2.22,
7 3S  4.62 x  0.60 1 1 0,1 1 0 1,,1 1,5.22,
8 FCSp4  3.20  0.57 2 1 1,0 1 1 1,,2 1,3.77,
9 3T< <  3.19 x -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,1.09,
10 2A  3.63 x  0.29 1 1 0,0 1 1 1,,0 0,3.92,
11 SlSt3  3.30  0.21 1 1 0,0 0 1 1,,0 0,3.51,
12 LSp4  2.70  0.86 2 1 2,1 1 2 2,,2 2,3.56,
45.75,,,,45.38,
Program Components Factor,,,,,
Skating Skills  1.60 5.50 6.25 5.50,6.00 5.75 6.00 6.50,,6.50 5.50,5.93,
Transition / Linking Footwork  1.60 4.00 5.75 5.50,5.25 5.25 4.75 5.75,,5.75 4.75,5.29,
Performance / Execution  1.60 4.75 6.00 5.75,5.75 5.50 5.50 6.00,,6.00 5.25,5.68,
Choreography / Composition  1.60 4.75 6.00 5.75,5.75 5.75 6.00 6.00,,5.75 5.25,5.75,
Interpretation  1.60 5.00 5.75 5.75,5.75 5.50 5.25 6.25,,5.75 5.00,5.54,
Judges Total Program Component Score (factored),,,,45.10,
Deductions: Falls: -1.00,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Cup of China 2011,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
9 Valentina MARCHEI ITA  4,81.44  32.76,,49.68,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lz  6.00 -0.40 0 -1 0,-1 -1 0 0,,-1 -1,5.60,
2 3F e  5.30 -0.90 -1 -1 -2,-2 -1 -1 -2,,-1 -1,4.40,
3 1S+1T  0.80 -0.03 0 0 -1,-1 0 0 0,,-1 0,0.77,
4 CCoSp4  3.50  0.43 2 1 1,1 1 0 1,,1 0,3.93,
"",,,Info,,Info
5 LSp3  2.40  0.64 2 2 1,1 1 1 0,,1 2,3.04,
6 ChSp1  2.00  0.90 2 1 1,2 0 1 1,,2 1,2.90,
7 1Lz  0.66 x  0.00 1 0 -1,0 0 0 0,,0 0,0.66,
8 3T< <  3.19 x -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,1.09,
9 1A  1.21 x -0.09 0 -1 0,-1 0 -1 0,,0 -1,1.12,
10 3S<+2T <  4.62 x -0.70 -1 -1 -1,-1 -1 -1 -1,,0 -1,3.92,
11 SlSt1  1.80  0.64 2 1 1,1 1 1 1,,2 2,2.44,
12 FSSp3  2.60  0.29 2 1 1,1 0 0 1,,0 0,2.89,
34.08,,,,32.76,
Program Components Factor,,,,,
Skating Skills  1.60 6.50 6.75 6.50,6.75 6.25 6.25 6.00,,6.75 6.00,6.43,
Transition / Linking Footwork  1.60 6.25 6.50 6.25,6.00 6.00 5.75 5.75,,5.00 4.50,5.86,
Performance / Execution  1.60 6.00 6.50 5.75,6.25 6.50 5.75 5.50,,6.50 4.75,6.04,
Choreography / Composition  1.60 7.00 7.00 6.00,6.50 6.25 6.25 5.75,,6.25 5.50,6.29,
Interpretation  1.60 7.00 7.00 6.00,6.50 6.25 6.25 5.50,,7.00 6.00,6.43,
Judges Total Program Component Score (factored),,,,49.68,
Deductions: Falls: -1.00,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
10 Qiuying ZHU CHN  1,73.29  35.16,,38.13,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3F<< <<  1.80 -0.69 -2 -2 -2,-3 -2 -3 -2,,-2 -3,1.11,
2 3T< <  2.90 -1.90 -3 -3 -1,-3 -3 -2 -2,,-3 -3,1.00,
3 3S< <  2.90 -0.60 -1 -1 0,-1 -1 -1 -1,,-1 0,2.30,
4 FCCoSp4  3.50  0.21 1 1 0,0 1 1 0,,0 0,3.71,
5 3T<+2T <  4.20 -0.80 -3 -1 -1,-2 -1 -1 -1,,-1 -1,3.40,
6 2A+2T  4.60  0.00 0 0 0,0 0 0 0,,0 0,4.60,
7 ChSp1  2.00  0.20 1 0 -1,0 0 1 0,,0 1,2.20,
8 2A  3.63 x  0.00 0 0 0,0 0 0 0,,0 0,3.63,
9 2F+2T+2Lo  5.39 x  0.04 0 0 0,-1 1 0 0,,0 1,5.43,
10 CCoSp4  3.50  0.21 1 0 0,0 1 0 1,,1 0,3.71,
11 SlSt2  2.60  0.14 0 0 0,0 1 1 0,,0 1,2.74,
12 LSp1  1.50 -0.17 -2 0 -2,0 0 -1 0,,0 -1,1.33,
38.52,,,,35.16,
Program Components Factor,,,,,
Skating Skills  1.60 4.75 5.25 4.75,4.75 5.50 5.25 4.75,,5.50 5.00,5.04,
Transition / Linking Footwork  1.60 3.50 4.75 4.00,4.00 4.50 4.75 4.75,,5.00 3.75,4.36,
Performance / Execution  1.60 4.75 5.00 4.50,3.75 5.00 5.00 4.50,,5.25 5.00,4.82,
Choreography / Composition  1.60 4.50 5.25 5.00,4.50 4.75 5.25 4.50,,5.25 4.75,4.86,
Interpretation  1.60 3.75 5.00 5.00,4.00 5.00 5.00 4.25,,5.25 5.00,4.75,
Judges Total Program Component Score (factored),,,,38.13,
Deductions:,,,,0.00,
"<  Under-rotated jump<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Printed: 05.11.2011 17:47:13,,,,,
