NHK Trophy 2007,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
6 CiSt3  3.10  0.10,0 0 1 0,0 0 1 0,,0,0 - -,3.20,
7 BiDs2  3.00  0.42,1 1 1 1,-1 -1 0 1,,0,0 - -,3.42,
8 PCoSp3  4.00  0.00,0 0 -1 0,0 0 0 0,,0,0 - -,4.00,
31.10,,,,,,30.80,
Program Components Factor,,,,,,,
Skating Skills  0.80,6.00 5.50 6.00 6.25,5.50 5.25 6.00 5.75,,5.75,5.50 - -,5.90,
Transition / Linking Footwork  0.80,5.75 5.50 6.25 5.75,5.00 4.75 5.50 5.75,,5.25,5.00 - -,5.60,
Performance / Execution  0.80,6.25 5.00 6.00 6.00,5.25 5.00 6.00 6.00,,5.75,5.75 - -,5.95,
Choreography / Composition  0.80,6.00 5.75 6.25 6.25,5.50 5.25 5.75 6.25,,5.50,5.50 - -,5.95,
Interpretation  0.80,6.25 5.50 6.25 6.00,5.25 5.50 5.75 5.75,,5.75,5.75 - -,5.90,
Judges Total Program Component Score (factored),,,,,,23.44,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
6 Jiaqi LI / Jiankun XU,CHN,47.40  27.28,,,20.12,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw1  5.00  0.56,0 1 2 2,1 2 1 -1,,0,1 - -,5.56,
2 3LoTh  5.00 -1.40,-2 -2 -2 -1,-2 -2 -2 -2,,-2,-2 - -,3.60,
3 3T  4.00 -1.00,-1 -1 -1 -1,-1 -1 -1 -2,,-1,-1 - -,3.00,
4 FCCoSp1  2.00 -0.24,-1 -1 -1 0,0 -1 -1 -1,,0,-1 - -,1.76,
5 SlSt1  1.80  0.00,0 -1 0 0,-1 -1 0 0,,0,0 - -,1.80,
6 5TLi4  6.00 -0.18,0 -1 0 -1,-1 0 -1 0,,-1,-1 - -,5.82,
7 BiDs1  2.80  0.00,-1 0 0 0,0 0 0 0,,0,0 - -,2.80,
8 PCoSp1  3.00 -0.06,0 0 -1 0,0 0 -1 0,,0,0 - -,2.94,
29.60,,,,,,27.28,
Program Components Factor,,,,,,,
Skating Skills  0.80,5.50 5.25 5.75 5.50,5.25 4.50 5.25 5.25,,5.00,5.25 - -,5.35,
Transition / Linking Footwork  0.80,4.75 3.75 5.25 5.00,4.25 4.25 4.75 4.75,,4.50,4.50 - -,4.75,
Performance / Execution  0.80,5.00 4.25 5.25 5.25,4.50 4.50 5.00 4.75,,4.75,5.00 - -,5.00,
Choreography / Composition  0.80,5.25 4.50 5.00 5.00,4.75 4.25 5.00 5.00,,4.50,5.00 - -,5.00,
Interpretation  0.80,5.25 4.00 5.25 5.25,4.75 4.25 4.75 5.00,,4.75,5.00 - -,5.05,
Judges Total Program Component Score (factored),,,,,,20.12,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
NHK Trophy 2007,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,Total,Total,
"",NOC,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code,Score Score,,Score (factored),,
"",,=,+,+,-,
7 Dominika PIATKOWSKA / Dmitri KHROMIN,POL,38.26  21.74,,17.52,1.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3T  4.00 -1.60,-2 -2 -1 -2,-1 -3 -2,-1,-1 -2 - -,2.40,
2 2LzTw1  3.00  0.00,0 1 0 0,0 0 0,0,0 0 - -,3.00,Info
3 5TLi2  5.00 -0.18,0 -2 -1 -1,-1 -1 -1,0,-1 0 - -,4.82,
4 3STh  4.50 -2.00,-3 -2 -3 -3,-3 -3 -3,-3,-3 0 - -,2.50,
5 BiDs1  2.80 -0.42,-1 -2 0 -1,-2 -2 0,-3,0 -1 - -,2.38,
6 SlSt1  1.80 -0.06,0 -1 0 0,0 -1 -1,-1,0 0 - -,1.74,
7 FCCoSp2  2.50 -0.42,-2 -2 -1 -1,-1 -1 -2,-2,-1 -1 - -,2.08,
8 PCoSp1  3.00 -0.18,0 -2 -1 -1,-1 0 -1,-1,0 0 - -,2.82,
26.60,,,,,21.74,
Program Components Factor,,,,,,
Skating Skills  0.80,5.25 4.50 4.25 4.50,4.50 4.50 4.50,4.75,4.50 4.75 - -,4.60,
Transition / Linking Footwork  0.80,4.50 3.75 4.00 4.00,4.00 4.50 4.00,4.50,4.25 4.25 - -,4.20,
Performance / Execution  0.80,5.25 4.00 4.00 4.25,3.75 4.25 4.25,4.50,4.25 4.50 - -,4.35,
Choreography / Composition  0.80,5.25 4.25 4.25 4.25,4.00 4.75 4.00,4.75,4.50 4.50 - -,4.45,
Interpretation  0.80,5.00 3.75 4.25 4.00,3.75 4.50 4.00,4.25,4.50 4.50 - -,4.30,
Judges Total Program Component Score (factored),,,,,17.52,
Deductions: Falls:,-1.00,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,
Printed: 29/11/2007 20:07:50,,,,,,
