NHK Trophy 2007,,,,,,,,
MEN SHORT PROGRAM,JUDGES DETAILS PER SKATER,,,,,,,
"",35.20,,,,,,,33.40,
Program Components,Factor,,,,,,,,
Skating Skills,1.00,6.50 5.50 6.25 6.00,,6.75 6.25 6.50 6.00,,5.75,6.00 - -,6.10,
Transition / Linking Footwork,1.00,6.00 5.25 6.00 5.75,,6.50 5.75 6.25 5.75,,5.00,5.25 - -,5.80,
Performance / Execution,1.00,6.25 5.75 6.25 5.50,,6.75 6.25 6.50 6.00,,6.00,5.50 - -,6.10,
Choreography / Composition,1.00,6.25 5.75 6.50 5.75,,6.75 6.00 6.50 6.00,,5.75,5.75 - -,6.10,
Interpretation,1.00,6.50 5.25 6.50 6.00,,6.75 6.00 6.50 6.25,,5.75,5.50 - -,6.20,
Judges Total Program Component Score (factored),,,,,,,,30.30,
Deductions:,,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",,<  Downgraded jump,,,,,,,
"",,,,Total Total,,,Total,Total,
"",,NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,,,
"",,Code,,Score Score,,,Score (factored),,
"",,,,= +,,,+,-,
8 Chengjiang LI,,CHN,,63.56  35.16,,,28.40,0.00,
"# Executed",Base GOE,,,The Judges Panel,,,,Scores,
Elements,Value,,,(in random order),,,,of Panel,
1 4T+2T,10.30  0.00,1 0 0 0,,-1 -1 0 0,,0,0 - -,10.30,
2 3A,7.50  1.00,2 2 1 1,,1 2 1 1,,1,1 - -,8.50,
3 CiSt2,2.30  0.00,0 0 1 0,,0 0 0 0,,0,0 - -,2.30,
4 3Lo,5.00 -0.20,0 0 0 -2,,-1 -1 0 0,,0,0 - -,4.80,
5 CCoSp2,2.50  0.10,1 0 1 0,,0 -1 0 1,,0,-1 - -,2.60,
6 CSSp3,2.30  0.00,0 0 0 0,,0 -1 0 1,,-1,0 - -,2.30,
7 SlSt2,2.30 -0.06,0 0 0 0,,0 0 0 -1,,-1,0 - -,2.24,
8 FSSp3,2.30 -0.18,0 0 -1 0,,-1 -1 0 -1,,-1,-1 - -,2.12,
"",34.50,,,,,,,35.16,
Program Components,Factor,,,,,,,,
Skating Skills,1.00,6.75 5.50 6.00 5.75,,6.25 6.50 6.25 6.00,,6.00,5.50 - -,6.00,
Transition / Linking Footwork,1.00,6.25 5.00 5.25 5.50,,6.00 5.00 5.75 5.25,,5.00,5.00 - -,5.35,
Performance / Execution,1.00,6.50 5.50 5.50 5.25,,6.25 5.50 6.25 6.00,,5.50,5.75 - -,5.75,
Choreography / Composition,1.00,6.75 5.50 5.75 6.00,,6.25 5.25 5.75 5.50,,5.50,6.00 - -,5.70,
Interpretation,1.00,6.50 5.75 5.50 5.50,,6.25 5.25 5.75 5.50,,5.00,5.50 - -,5.60,
Judges Total Program Component Score (factored),,,,,,,,28.40,
Deductions:,,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",,<  Downgraded jump,,,,,,,
"",,,,Total Total,,,Total,Total,
"",,NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,,,
"",,Code,,Score Score,,,Score (factored),,
"",,,,= +,,,+,-,
9 Shawn SAWYER,,CAN,,62.85  32.80,,,30.05,0.00,
"# Executed",Base GOE,,,The Judges Panel,,,,Scores,
Elements,Value,,,(in random order),,,,of Panel,
1 3F+3T,9.50  0.40,1 0 1 0,,0 0 0 1,,1,0 - -,9.90,
2 3A,7.50 -2.00,-2 -2 -2 -2,,-2 -2 0 -2,,-2,-2 - -,5.50,
3 FSSp4,3.00  0.00,0 0 0 0,,0 0 0 1,,0,0 - -,3.00,
4 3Lz<,1.90 -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-2,-3 - -,0.90,
5 CiSt3,3.10  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,3.10,
6 SlSt3,3.10  0.10,0 0 0 0,,0 1 0 1,,1,0 - -,3.20,
7 CSSp4,3.00  0.00,0 0 0 0,,0 1 0 0,,0,0 - -,3.00,
8 CCoSp4,3.50  0.70,1 1 2 1,,1 2 1 2,,2,1 - -,4.20,
"",34.60,,,,,,,32.80,
Program Components,Factor,,,,,,,,
Skating Skills,1.00,6.75 6.00 6.25 6.00,,6.50 6.25 6.25 5.75,,6.00,6.25 - -,6.10,
Transition / Linking Footwork,1.00,6.50 5.75 5.75 5.50,,6.25 6.00 6.25 5.75,,5.50,5.50 - -,5.80,
Performance / Execution,1.00,6.25 6.00 6.00 5.75,,6.25 5.75 6.00 6.00,,6.25,5.75 - -,6.05,
Choreography / Composition,1.00,6.50 6.00 6.25 6.00,,6.50 6.50 6.00 5.75,,6.00,5.75 - -,6.05,
Interpretation,1.00,6.50 5.75 6.00 6.25,,6.50 6.25 6.25 6.00,,5.75,6.00 - -,6.05,
Judges Total Program Component Score (factored),,,,,,,,30.05,
Deductions:,,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",,<  Downgraded jump,,,,,,,
NHK Trophy 2007,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,Total,Total,
"",NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,,Score (factored),,
"",,,= +,,+,-,
10 Vaughn CHIPEUR,CAN,,62.10  33.30,,28.80,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3A  7.50 -1.80,-2 -2 -2 -2,,-2 -2 -2 -1,,-1 -2 - -,5.70,
2 3F+2T  6.80 Info 0.00,0 -1 0 0,,0 -1 0 0,,0 In0fo - -,6.80,Info
3 CiSt2  2.30  0.10,0 0 0 0,,0 0 0 1,,1 0 - -,2.40,
4 CCoSp4  3.50  0.00,0 0 0 0,,0 0 0 0,,0 0 - -,3.50,
5 3Lz  6.00  0.20,1 0 0 -1,,0 0 0 1,,2 0 - -,6.20,
6 SlSt2  2.30  0.10,0 1 0 0,,0 1 0 1,,0 0 - -,2.40,
7 CSSp4  3.00  0.20,1 0 -1 1,,1 1 0 1,,0 0 - -,3.20,
8 FSSp4  3.00  0.10,0 0 0 0,,1 1 0 1,,0 0 - -,3.10,
34.40,,,,,,33.30,
Program Components Factor,,,,,,,
Skating Skills  1.00,6.00 5.75 5.50 6.00,,6.25 5.25 6.00 5.50,,6.50 6.00 - -,5.90,
Transition / Linking Footwork  1.00,5.50 5.75 5.00 6.00,,6.00 4.75 5.50 5.75,,5.50 5.25 - -,5.70,
Performance / Execution  1.00,5.75 6.00 5.50 5.75,,6.25 5.00 5.75 5.75,,5.75 5.50 - -,5.80,
Choreography / Composition  1.00,5.75 5.50 5.25 6.00,,6.25 5.50 5.75 5.50,,6.00 5.50 - -,5.75,
Interpretation  1.00,5.50 6.00 5.25 5.50,,6.00 5.25 5.50 5.75,,5.50 5.75 - -,5.65,
Judges Total Program Component Score (factored),,,,,,28.80,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,,Total Total,,Total,Total,
"",NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,,Score (factored),,
"",,,= +,,+,-,
11 Andrei GRIAZEV,RUS,,62.05  29.60,,32.45,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3Lz+3T  10.00 -0.60,-1 -1 0 0,,-1 -1 0 -1,,-1 -1 - -,9.40,
2 1A  0.80 -0.50,-3 -3 -3 -3,,-3 -3 -3 -3,,-3 -3 - -,0.30,
3 3F  5.50  0.00,-1 0 0 0,,0 0 0 -1,,0 0 - -,5.50,
4 CCoSp4  3.50  0.30,0 1 1 0,,0 0 1 1,,0 1 - -,3.80,
5 SlSt2  2.30  0.30,0 0 1 1,,0 0 0 1,,2 0 - -,2.60,
6 FSSp3  2.30  0.10,0 0 0 1,,0 -1 0 1,,-1 0 - -,2.40,
7 CiSt2  2.30  0.30,0 -1 1 0,,0 1 1 1,,1 0 - -,2.60,
8 CSSp4  3.00  0.00,0 0 0 0,,0 1 0 1,,0 0 - -,3.00,
29.70,,,,,,29.60,
Program Components Factor,,,,,,,
Skating Skills  1.00,6.50 6.75 7.00 6.25,,6.50 6.50 7.00 6.50,,6.75 6.50 - -,6.70,
Transition / Linking Footwork  1.00,6.25 5.75 6.50 6.00,,6.50 5.75 6.75 6.25,,6.25 6.25 - -,6.30,
Performance / Execution  1.00,6.25 5.75 7.00 6.00,,6.25 6.25 7.00 6.75,,6.75 6.50 - -,6.55,
Choreography / Composition  1.00,6.50 5.75 7.25 6.50,,6.25 6.00 6.75 6.25,,6.50 6.75 - -,6.45,
Interpretation  1.00,6.50 5.75 7.25 6.00,,6.50 6.00 7.00 6.50,,6.25 6.25 - -,6.45,
Judges Total Program Component Score (factored),,,,,,32.45,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,,Total Total,,Total,Total,
"",NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,,Score (factored),,
"",,,= +,,+,-,
12 Jeremy ABBOTT,USA,,58.27  29.02,,30.25,1.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 4T+COMBO  9.00 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3 -3 - -,6.00,
2 3A  7.50  0.20,1 0 1 0,,1 1 0 0,,0 0 - -,7.70,
3 CCoSp3  3.00  0.70,1 1 1 2,,1 2 1 2,,2 2 - -,3.70,
4 CiSt1  1.80  0.50,0 1 1 1,,1 1 1 0,,1 1 - -,2.30,
5 FSSp4  3.00  0.00,1 0 0 -1,,0 1 0 1,,0 1 - -,3.00,
6 1Lo  0.50 -0.30,-3 -3 -3 -3,,-3 -3 -3 -3,,-3 -3 - -,0.20,
7 CSSp4  3.00 -0.18,-1 -1 -1 0,,-1 0 0 0,,-1 0 - -,2.82,
8 SlSt3  3.10  0.20,0 0 0 1,,0 1 1 1,,0 1 - -,3.30,
30.90,,,,,,29.02,
Program Components Factor,,,,,,,
Skating Skills  1.00,6.50 5.75 5.75 6.25,,6.50 6.00 6.50 5.00,,6.25 6.50 - -,6.10,
Transition / Linking Footwork  1.00,6.00 5.50 5.50 5.75,,6.50 5.75 6.50 5.50,,6.00 6.25 - -,5.85,
Performance / Execution  1.00,6.00 6.00 6.00 5.75,,6.00 5.25 6.00 5.25,,5.75 6.25 - -,5.90,
Choreography / Composition  1.00,6.25 6.50 5.75 6.00,,6.25 6.00 6.25 5.50,,7.00 6.25 - -,6.15,
Interpretation  1.00,6.50 6.25 5.75 6.25,,6.50 6.00 6.50 5.25,,6.50 7.00 - -,6.25,
Judges Total Program Component Score (factored),,,,,,30.25,
Deductions: Falls:,-1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
Printed: 01/12/2007 16:32:00,,,,,,,
