NHK Trophy 2007,,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
1 Aliona SAVCHENKO / Robin SZOLKOWY,GER,,120.32  58.64,,61.68,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
6 FCCoSp2  2.50  0.00,0 0 0,0,2 0 1 0,0,0 - -,,2.50,
7 SpSq4  3.40  0.20,1 1 0,0,0 0 0 0,0,0 - -,,3.60,
8 3LzTh  6.05 x  0.70,1 1 1,1,1 1 1 1,1,1 - -,,6.75,
9 3Li3  3.50  0.20,1 1 0,1,0 0 0 1,1,0 - -,,3.70,
10 5ALi4  6.50  0.80,1 0 1,1,1 0 1 1,1,1 - -,,7.30,
11 SlSt3  3.10  0.00,0 0 0,0,1 0 0 1,0,0 - -,,3.10,
12 BiDs1  2.80  0.28,1 0 0,0,0 0 0 1,1,1 - -,,3.08,
13 PCoSp4  4.50  0.00,0 0 0,0,0 -1 0 0,0,0 - -,,4.50,
50.75,,,,,,,48.61,
Program Components Factor,,,,,,,,
Skating Skills  1.60,5.75 6.25 5.00,5.25,6.00 5.25 6.25 5.75,5.75,5.75 - -,,5.75,
Transition / Linking Footwork  1.60,5.50 5.50 4.75,4.75,5.75 5.00 5.75 6.00,5.50,5.50 - -,,5.45,
Performance / Execution  1.60,5.50 6.25 4.50,5.25,6.25 4.75 5.75 5.50,5.75,5.25 - -,,5.35,
Choreography / Composition  1.60,5.50 6.00 4.75,5.50,6.00 5.25 6.00 6.25,6.00,5.50 - -,,5.65,
Interpretation  1.60,5.25 6.00 4.50,5.25,5.75 5.25 6.00 6.00,5.50,5.50 - -,,5.60,
Judges Total Program Component Score (factored),,,,,,,44.48,
Deductions: Falls:,-2.00,,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
NHK Trophy 2007,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
5 Tatiana VOLOSOZHAR / Stanislav MOROZOV,UKR,,90.67  41.71,48.96,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3T+2T  5.30 -1.80,-1 -2 -3,-2,-2 -2 -1 -2,-2 -2 - -,,3.50,
