NHK Trophy 2007,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
Skating Skills  2.00,7.75 7.50 7.50,7.50,7.50 8.00 7.50 8.00,7.75 8.00 - -,,7.65,
Transition / Linking Footwork  2.00,7.50 7.00 7.75,6.75,7.50 7.00 7.25 7.75,7.25 7.75 - -,,7.25,
Performance / Execution  2.00,7.75 7.25 7.50,7.50,7.50 7.50 7.50 8.00,8.00 8.00 - -,,7.55,
Choreography / Composition  2.00,8.00 7.50 7.25,7.00,8.00 7.25 7.75 7.75,7.50 8.00 - -,,7.65,
Interpretation  2.00,7.75 7.00 7.75,7.00,7.75 7.00 7.50 7.75,8.00 8.00 - -,,7.40,
Judges Total Program Component Score (factored),,,,,,75.00,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
NHK Trophy 2007,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
3 Stephen CARRIERE,USA,,137.13  67.73,69.40,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3A  7.50 -1.20,-1 -2 -1,-2,-1 -1 -1 -1,-1 -1 - -,,6.30,
2 3T+2T+2T  6.60  1.20,1 2 1,1,1 2 1 Info1,1 1 - -,,7.80,Info
3 CCoSp4  3.50  0.40,1 1 0,1,1 0 0 1,0 1 - -,,3.90,
4 3Lz  6.00  0.00,0 0 0,0,0 0 -1 0,-1 1 - -,,6.00,
5 SlSt2  2.30  0.20,1 0 1,1,0 0 1 0,0 0 - -,,2.50,
6 3F e  6.05 x -1.00,-1 -1 -1,-1,-2 -1 -1 -1,-1 -1 - -,,5.05,
7 3A+SEQ  6.60 x -2.00,-1 -2 -2,-2,-2 -2 -2 -2,-2 -2 - -,,4.60,
8 CSSp2  2.00  0.00,0 0 0,-1,0 0 0 0,0 1 - -,,2.00,
9 3Lz+2T  8.03 x  1.00,1 1 1,1,0 1 1 1,0 1 - -,,9.03,
10 3Lo  5.50 x  0.40,0 0 0,1,0 0 1 1,0 0 - -,,5.90,
11 FSSp4  3.00  0.40,1 1 1,1,0 1 1 0,0 0 - -,,3.40,
12 CiSt2  2.30  0.40,1 1 1,1,0 1 1 0,0 0 - -,,2.70,
13 3S  4.95 x  0.40,1 0 1,1,0 0 0 1,0 1 - -,,5.35,
14 FCCoSp3  3.00  0.20,1 0 1,1,0 0 1 0,0 0 - -,,3.20,
67.33,,,,,,67.73,
Program Components Factor,,,,,,,
Skating Skills  2.00,7.00 6.50 6.50,7.00,6.50 6.50 7.00 7.50,6.75 7.00 - -,,6.80,
Transition / Linking Footwork  2.00,6.75 6.50 6.50,7.25,6.25 6.75 6.75 7.25,6.50 6.75 - -,,6.80,
Performance / Execution  2.00,7.00 6.75 7.00,7.00,6.75 6.75 7.25 7.25,6.25 6.50 - -,,6.95,
Choreography / Composition  2.00,7.00 7.00 6.50,7.25,7.00 7.50 7.00 7.00,6.50 6.75 - -,,7.05,
Interpretation  2.00,7.25 7.00 7.00,7.00,6.50 7.00 7.25 7.50,6.75 6.75 - -,,7.10,
Judges Total Program Component Score (factored),,,,,,69.40,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
4 Jeremy ABBOTT,USA,,129.29  70.29,61.00,,2.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 4T  9.00 -3.00,-3 -3 -3,-3,-3 -3 -3 -3,-3 -3 - -,,6.00,
2 3A+3T  11.50  0.60,1 1 1,0,0 0 1 1,0 1 - -,,12.10,
3 3F<  1.70 -1.00,-3 -3 -3,-3,-3 -3 -3 -3,-3 -3 - -,,0.70,
4 2A  3.50  0.00,0 0 0,0,0 0 0 0,0 0 - -,,3.50,
5 CiSt3  3.10  0.40,1 1 0,1,0 1 1 0,0 0 - -,,3.50,
6 CoSp4  3.00  0.10,0 0 0,1,0 0 1 0,0 0 - -,,3.10,
7 3A  8.25 x -1.20,-1 -1 -2,-2,-2 -1 -1 -1,-1 -1 - -,,7.05,
8 CSSp4  3.00  0.00,0 0 0,0,0 0 0 0,0 -1 - -,,3.00,
9 3Lz+2T+2T  9.46 x -0.20,0 0 0,-1,-1 0 0 0,-1 0 - -,,9.26,
10 CCoSp3  3.00  0.50,1 1 1,1,1 1 1 1,1 1 - -,,3.50,
11 3Lo  5.50 x  0.40,0 0 0,1,0 1 1 0,0 1 - -,,5.90,
12 3S+2T  6.38 x  0.00,0 0 0,0,0 0 0 0,0 0 - -,,6.38,
13 FSSp4  3.00  0.00,1 -1 0,0,0 0 0 0,0 1 - -,,3.00,
14 SlSt3  3.10  0.20,1 0 0,1,0 0 1 0,0 0 - -,,3.30,
73.49,,,,,,70.29,
Program Components Factor,,,,,,,
Skating Skills  2.00,6.75 6.00 4.75,5.25,6.25 6.00 6.00 6.25,6.25 6.50 - -,,6.10,
Transition / Linking Footwork  2.00,6.50 5.50 5.00,5.00,5.75 6.50 5.50 6.00,5.75 6.25 - -,,5.85,
Performance / Execution  2.00,6.25 6.25 5.25,5.00,6.00 6.00 6.25 6.25,6.00 6.50 - -,,6.15,
Choreography / Composition  2.00,6.50 6.00 5.00,5.50,6.25 7.00 6.00 6.25,5.75 6.75 - -,,6.20,
Interpretation  2.00,6.50 6.50 5.25,5.25,6.25 6.00 6.25 6.00,5.50 6.50 - -,,6.20,
Judges Total Program Component Score (factored),,,,,,61.00,
Deductions: Falls:,-2.00,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
NHK Trophy 2007,,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
5 Andrei GRIAZEV,RUS,,120.78  60.88,,59.90,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 2Lz  1.90  0.00,0 0 0,0,0 0 0 0,0,0 - -,,1.90,
2 3A+3T  11.50  1.00,1 1 1,1,1 0 1 Info1,1,1 - -,,12.50,Info
3 3F  5.50  0.40,0 0 0,1,0 1 1 0,0,0 - -,,5.90,
4 3A  7.50 -2.00,-2 -2 -2,-2,-2 -2 -2 -2,-2,-2 - -,,5.50,
5 FSSp3  2.30  0.00,0 0 0,0,0 0 0 0,0,1 - -,,2.30,
6 SeSt2  2.30  0.00,1 0 0,0,0 0 0 0,0,0 - -,,2.30,
7 CCoSp3  3.00  0.30,1 0 0,0,1 1 1 0,1,1 - -,,3.30,
8 2A  3.85 x -1.60,-1 -2 -2,-2,-2 -2 -2 -2,-2,-2 - -,,2.25,
9 3Lo  5.50 x -1.00,-1 -1 -1,-1,-1 -1 -1 -1,-1,-1 - -,,4.50,
10 3F+2T  7.48 x -0.20,0 0 0,-1,0 -1 0 0,0,0 - -,,7.28,
11 3S  4.95 x -0.20,-1 0 0,0,0 -1 0 0,0,0 - -,,4.75,
12 CSSp4  3.00  0.00,1 0 0,0,0 0 0 0,0,0 - -,,3.00,
13 SlSt2  2.30  0.10,1 1 1,0,0 -1 0 0,0,0 - -,,2.40,
14 CoSp4  3.00  0.00,0 0 0,0,0 0 0 0,0,0 - -,,3.00,
64.08,,,,,,,60.88,
Program Components Factor,,,,,,,,
Skating Skills  2.00,6.25 6.25 5.75,5.00,6.50 6.25 6.50 6.50,6.50,6.25 - -,,6.35,
Transition / Linking Footwork  2.00,6.00 6.00 5.75,4.00,5.75 5.25 6.25 6.50,5.25,5.75 - -,,5.85,
Performance / Execution  2.00,5.75 6.25 6.00,4.50,5.25 5.75 6.50 6.25,5.75,6.00 - -,,5.85,
Choreography / Composition  2.00,6.00 6.50 5.50,4.75,5.50 5.75 6.50 6.75,5.75,6.00 - -,,6.05,
Interpretation  2.00,6.00 6.00 5.75,4.50,5.50 5.25 6.50 6.50,5.50,5.75 - -,,5.85,
Judges Total Program Component Score (factored),,,,,,,59.90,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
6 Sergei DOBRIN,RUS,,120.39  60.59,,59.80,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 4T<  4.00 -1.80,-2 -2 -2,-2,-2 -1 -2 -1,-1,-1 - -,,2.20,
2 3A  7.50 -1.20,-1 -1 -2,-2,-2 -1 -1 -1,-1,-1 - -,,6.30,
3 3Lz+2T  7.30 -1.20,-1 -2 0,-2,-1 -1 -1 -1,-1,-1 - -,,6.10,
4 3Lo+3T  9.00  0.00,0 0 0,0,0 0 1 0,0,1 - -,,9.00,
5 FCSp3  2.30  0.50,1 1 0,0,1 1 1 1,1,1 - -,,2.80,
6 CiSt2  2.30  0.40,1 1 1,1,0 0 1 1,1,0 - -,,2.70,
7 3S+2T+2T  7.81 x -0.20,0 0 0,-1,0 -1 0 0,0,0 - -,,7.61,
8 3F e  6.05 x -1.20,-1 -2 -1,-1,-2 -1 -1 -1,-1,-1 - -,,4.85,
9 CoSp4  3.00 -0.06,0 -1 0,0,-1 0 0 0,-1,0 - -,,2.94,
10 SlSt2  2.30  0.30,1 0 1,1,0 -1 1 1,0,0 - -,,2.60,
11 3T  4.40 x  0.00,0 0 -1,-1,0 0 0 0,0,0 - -,,4.40,
12 2A  3.85 x  0.00,0 0 0,-1,0 0 0 0,0,0 - -,,3.85,
13 CCoSp3  3.00  0.00,0 0 0,0,0 0 0 0,0,0 - -,,3.00,
14 CSSp3  2.30 -0.06,0 0 0,-1,-1 0 1 0,-1,0 - -,,2.24,
65.11,,,,,,,60.59,
Program Components Factor,,,,,,,,
Skating Skills  2.00,6.00 6.25 5.75,6.00,6.00 5.50 7.00 7.00,6.50,7.00 - -,,6.25,
Transition / Linking Footwork  2.00,5.25 5.50 5.50,4.75,5.50 5.00 6.50 6.50,6.00,6.50 - -,,5.55,
Performance / Execution  2.00,5.75 6.00 6.25,5.25,5.75 6.00 7.00 6.75,6.25,6.25 - -,,6.05,
Choreography / Composition  2.00,6.00 6.25 6.25,5.50,5.75 5.75 7.00 6.75,6.50,6.50 - -,,6.10,
Interpretation  2.00,6.00 6.00 6.00,5.00,5.75 5.50 6.75 6.50,6.50,6.50 - -,,5.95,
Judges Total Program Component Score (factored),,,,,,,59.80,
Deductions:,,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
NHK Trophy 2007,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
7 Sergei DAVYDOV,BLR,,118.45  57.05,61.40,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3A+SEQ  6.00 -2.00,-2 -2 -2,-2,-2 -2 -2 -2,-2 -2 - -,,4.00,
2 3A  7.50 -1.40,-1 -1 0,-2,-2 -1 -1 Inf-o2,-1 -1 - -,,6.10,Info
3 3Lz+2T  7.30  0.00,0 0 0,0,0 0 1 0,0 0 - -,,7.30,
4 FSSp3  2.30  0.20,1 1 1,-1,0 0 1 0,0 1 - -,,2.50,
5 CiSt2  2.30  0.50,1 1 1,1,1 1 1 0,0 0 - -,,2.80,
6 3F e  6.05 x -1.80,-1 -3 -2,-2,-2 -2 -2 -1,-2 -2 - -,,4.25,
7 3Lo+2T+2T  8.36 x  0.00,0 0 0,0,0 0 0 0,0 0 - -,,8.36,
8 3S  4.95 x  0.00,0 0 0,0,0 0 1 0,0 1 - -,,4.95,
9 CUSp2  2.00  0.00,0 0 0,0,0 0 1 0,0 1 - -,,2.00,
10 3T  4.40 x  0.20,0 0 1,0,0 1 1 0,0 1 - -,,4.60,
11 2A  3.85 x  0.00,0 0 0,0,0 0 0 0,0 0 - -,,3.85,
12 CCoSp1  2.00 -0.06,0 0 0,-1,-1 0 0 0,-1 0 - -,,1.94,
13 SlSt1  1.80  0.30,1 1 1,1,0 0 1 0,0 0 - -,,2.10,
14 CSSp3  2.30  0.00,0 0 0,0,0 0 0 0,0 0 - -,,2.30,
61.11,,,,,,57.05,
Program Components Factor,,,,,,,
Skating Skills  2.00,6.50 6.50 6.00,5.75,6.00 6.25 6.75 6.75,6.75 6.75 - -,,6.40,
Transition / Linking Footwork  2.00,5.75 5.50 5.50,5.00,5.50 6.00 6.50 6.75,5.50 6.25 - -,,5.85,
Performance / Execution  2.00,6.25 6.00 6.50,5.25,6.00 6.25 6.75 6.50,6.25 6.25 - -,,6.20,
Choreography / Composition  2.00,6.25 5.75 6.25,5.25,5.00 6.50 6.75 6.75,6.25 6.50 - -,,6.10,
Interpretation  2.00,6.25 6.00 6.50,5.25,5.75 6.00 6.75 6.75,6.50 6.25 - -,,6.15,
Judges Total Program Component Score (factored),,,,,,61.40,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
8 Shawn SAWYER,CAN,,117.50  55.70,61.80,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 CCoSp3  3.00  0.10,1 0 1,0,0 1 0 0,0 1 - -,,3.10,
2 3F+3T  9.50  0.00,-1 0 0,0,0 0 0 0,0 1 - -,,9.50,
3 3A  7.50 -1.80,-2 -1 -2,-2,-2 -2 -2 -1,-2 -2 - -,,5.70,
4 CiSt3  3.10  0.10,1 0 0,0,0 1 0 0,0 0 - -,,3.20,
5 2A  3.50  0.00,0 0 0,0,0 0 0 0,0 0 - -,,3.50,
6 FCUSp4  3.00  0.20,1 0 0,-1,0 1 1 0,0 1 - -,,3.20,
7 FSSp4  3.00  0.10,1 0 0,0,1 0 0 0,1 0 - -,,3.10,
8 3Lz<  2.09 x -0.42,-2 -2 -2,-1,-1 -1 -2 -1,-2 -1 - -,,1.67,
9 2Lo+3Lo<+SEQ  2.64 x -0.68,-2 -3 -2,-2,-2 -2 -3 -1,-2 -2 - -,,1.96,
10 3S+2T+2Lo  8.03 x  0.00,0 0 0,0,0 0 0 0,0 1 - -,,8.03,
11 SlSt3  3.10  0.30,1 1 1,1,0 0 1 0,0 0 - -,,3.40,
12 3F<  1.87 x -0.48,-2 -2 -2,-2,-1 -1 -2 -1,-2 -1 - -,,1.39,
13 2A  3.85 x  0.00,0 0 1,0,0 0 0 0,0 1 - -,,3.85,
14 FCCoSp4  3.50  0.60,2 0 1,1,2 1 1 1,2 1 - -,,4.10,
57.68,,,,,,55.70,
Program Components Factor,,,,,,,
Skating Skills  2.00,6.50 6.25 6.00,5.50,6.00 6.00 5.75 6.25,6.50 6.75 - -,,6.05,
Transition / Linking Footwork  2.00,6.50 6.00 5.75,6.25,5.75 6.25 5.50 6.25,5.75 6.50 - -,,6.10,
Performance / Execution  2.00,6.25 6.25 6.00,5.75,6.00 6.50 6.00 6.50,5.75 6.50 - -,,6.20,
Choreography / Composition  2.00,6.75 6.25 5.75,6.25,6.00 6.75 5.75 6.50,6.25 6.50 - -,,6.35,
Interpretation  2.00,6.75 6.50 6.00,6.00,5.50 6.25 6.00 6.25,6.25 6.75 - -,,6.20,
Judges Total Program Component Score (factored),,,,,,61.80,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
NHK Trophy 2007,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
9 Kensuke NAKANIWA,JPN,,117.00  59.60,58.40,,1.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 4T  9.00 -3.00,-3 -3 -3,-3,-3 -3 -3 -3,-2 -3 - -,,6.00,
2 3A  7.50 -0.60,1 0 0,-2,-1 -1 -1 Info0,-1 0 - -,,6.90,Info
3 3Lz  6.00 -0.60,0 0 -1,-1,-1 -1 -1 0,0 0 - -,,5.40,
4 CSSp4  3.00  0.00,0 1 1,0,0 0 0 0,0 1 - -,,3.00,
5 CiSt3  3.10  0.50,1 1 1,1,1 1 1 1,0 0 - -,,3.60,
6 FSSp3  2.30  0.20,1 1 0,0,1 0 0 0,0 1 - -,,2.50,
7 3Lz+2T  8.03 x -1.60,-1 -1 -2,-2,-2 -1 -2 -2,-2 -2 - -,,6.43,
8 3T  4.40 x  0.00,0 0 0,0,0 0 0 0,0 1 - -,,4.40,
9 3S  4.95 x  0.40,0 1 1,1,0 0 1 0,0 1 - -,,5.35,
10 2A  3.85 x  0.00,0 0 0,0,0 0 1 0,0 1 - -,,3.85,
11 CoSp2  2.10 -0.12,0 0 -1,-1,0 -1 -1 0,0 0 - -,,1.98,
12 3S+1T  5.39 x  0.00,0 0 0,-1,0 0 0 0,0 0 - -,,5.39,
13 SlSt1  1.80  0.00,0 0 0,0,0 0 0 0,0 0 - -,,1.80,
14 CCoSp3  3.00  0.00,0 1 0,0,0 0 0 0,0 0 - -,,3.00,
64.42,,,,,,59.60,
Program Components Factor,,,,,,,
Skating Skills  2.00,6.25 6.25 5.50,5.75,5.75 5.50 5.75 6.50,5.75 6.75 - -,,5.95,
Transition / Linking Footwork  2.00,5.75 6.00 5.00,5.25,5.50 5.25 5.50 6.25,5.00 6.25 - -,,5.60,
Performance / Execution  2.00,6.00 6.00 5.50,5.25,5.75 5.50 5.75 6.75,5.25 6.50 - -,,5.80,
Choreography / Composition  2.00,6.25 6.25 5.25,5.75,5.50 5.75 5.50 6.50,6.00 6.25 - -,,5.90,
Interpretation  2.00,6.25 6.50 5.00,5.25,5.75 5.50 5.75 6.50,5.75 6.50 - -,,5.95,
Judges Total Program Component Score (factored),,,,,,58.40,
Deductions: Falls:,-1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
10 Vaughn CHIPEUR,CAN,,111.55  55.55,56.00,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3A  7.50 -0.80,-1 -1 -1,-2,0 -1 -1 0,0 -1 - -,,6.70,
2 3F  5.50 -1.60,-1 -2 -2,-2,-2 -1 -2 -1,-1 -2 - -,,3.90,
3 FSSp4  3.00  0.00,1 0 1,0,0 0 0 0,0 1 - -,,3.00,
4 3Lz  6.00  1.00,1 1 0,1,1 2 1 1,1 1 - -,,7.00,
5 1Lo  0.50  0.00,0 0 -1,-2,0 0 0 0,0 0 - -,,0.50,
6 CSSp4  3.00  0.20,1 1 1,0,1 0 0 0,0 1 - -,,3.20,
7 CiSt2  2.30  0.00,0 1 1,0,0 0 0 0,0 0 - -,,2.30,
8 2A  3.85 x  1.00,1 0 1,1,1 2 1 1,2 1 - -,,4.85,
9 CCoSp4  3.50  0.00,0 0 0,1,0 0 0 0,0 1 - -,,3.50,
10 3S  4.95 x -1.60,-1 -1 -2,-2,-2 -2 -2 -1,-2 -1 - -,,3.35,
11 3Lz+2T+2T  9.46 x  0.20,1 0 0,0,0 1 0 0,0 1 - -,,9.66,
12 SlSt2  2.30  0.00,1 0 0,-2,0 0 0 0,0 0 - -,,2.30,
13 2A  3.85 x -1.44,-1 -2 -2,-2,-2 -1 -2 -2,-2 -1 - -,,2.41,
14 FCCoSp3  3.00 -0.12,0 0 0,-2,0 -1 -1 0,0 0 - -,,2.88,
58.71,,,,,,55.55,
Program Components Factor,,,,,,,
Skating Skills  2.00,5.75 6.00 5.75,4.75,6.25 6.25 5.25 6.00,6.75 6.50 - -,,5.85,
Transition / Linking Footwork  2.00,5.00 5.25 5.25,5.25,5.75 5.75 4.75 5.75,4.50 6.00 - -,,5.40,
Performance / Execution  2.00,5.25 5.75 5.25,5.00,5.50 5.50 5.00 5.75,5.50 6.25 - -,,5.40,
Choreography / Composition  2.00,5.25 6.00 5.75,5.50,6.00 6.25 5.00 6.25,5.50 6.50 - -,,5.80,
Interpretation  2.00,5.25 6.25 4.75,5.25,5.75 5.50 5.00 6.00,5.25 6.25 - -,,5.55,
Judges Total Program Component Score (factored),,,,,,56.00,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
NHK Trophy 2007,,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
11 Yasuharu NANRI,JPN,,108.70  49.70,,60.00,,1.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
1 3A+3T  11.50  1.20,2 2 1,1,1 1 1 1,1,2 - -,,12.70,
2 3F e  5.50 -1.00,-1 -1 -1,-1,-2 -1 -1 Inf-o1,0,-1 - -,,4.50,Info
3 2Lo  1.50  0.00,0 0 0,0,0 0 0 0,0,0 - -,,1.50,
4 2Lz  1.90 -0.36,-1 -1 -2,-2,-1 -2 -1 -1,-1,-1 - -,,1.54,
5 CSSp3  2.30  0.00,0 1 -1,0,0 0 0 0,0,0 - -,,2.30,
6 2A  3.50  0.00,0 0 1,0,0 0 0 1,0,0 - -,,3.50,
7 3S  4.50 -1.00,-1 -1 -2,-2,-1 -1 -1 -1,-2,-1 - -,,3.50,
8 CiSt2  2.30  0.40,1 0 1,1,0 1 1 1,1,0 - -,,2.70,
9 3Lz+2T  8.03 x  0.00,0 0 0,-1,0 0 0 1,0,1 - -,,8.03,
10 FCCoSp2  2.50 -0.06,0 0 0,-1,0 0 -1 0,0,0 - -,,2.44,
