ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
4 3Lo  5.61 x -0.40 -1 0 -1 -1 -1,0 -1,0 0,5.21,
5 2A  3.63 x  0.50 1 1 1 1 2,0 1,1 1,4.13,
6 StSq2  2.60  0.29 0 1 1 0 1,0 1,0 1,2.89,
7 LSp3  2.40  0.36 0 1 1 0 0,1 1,1 1,2.76,
30.54,,,31.85,
Program Components Factor,,,,
Skating Skills  0.80 6.75 7.75 6.50 6.75 6.50,6.75 6.50,7.00 6.75,6.71,
Transitions  0.80 6.50 6.75 6.00 6.25 6.50,6.75 5.75,6.75 6.50,6.46,
Performance  0.80 7.25 7.75 7.00 6.50 6.75,7.00 6.50,7.50 7.00,7.00,
Composition  0.80 7.00 7.50 6.50 6.50 6.25,7.00 6.75,7.00 6.75,6.79,
Interpretation of the Music  0.80 6.75 7.50 6.75 6.75 6.75,7.25 6.75,7.25 7.00,6.93,
Judges Total Program Component Score (factored),,,27.11,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
9 Polina EDMUNDS USA  1  56.31,28.73,27.58,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3Lo+3T< <  8.10 -1.80 -3 -3 -2 -3 -3,-2 -3,-2 -2,6.30,
2 3S  4.40  0.60 1 0 1 0 1,1 1,1 1,5.00,
3 CCoSp4  3.50  0.21 1 0 1 0 1,0 0,0 1,3.71,
4 StSq2  2.60  0.50 2 1 1 1 1,0 1,1 1,3.10,
5 FSSp4  3.00  0.36 1 0 0 1 1,1 0,1 2,3.36,
6 2A  3.63 x  0.36 0 1 1 1 0,0 1,1 1,3.99,
7 LSp4  2.70  0.57 2 1 1 1 1,1 1,2 1,3.27,
27.93,,,28.73,
Program Components Factor,,,,
Skating Skills  0.80 7.25 7.00 6.50 6.25 6.75,7.00 7.00,7.50 7.75,7.00,
Transitions  0.80 6.75 6.75 6.00 6.00 6.50,6.75 6.25,7.25 7.00,6.57,
Performance  0.80 7.25 7.00 6.50 6.25 6.25,7.00 6.75,7.75 7.25,6.86,
Composition  0.80 7.50 7.00 6.25 6.50 6.50,7.00 7.00,7.50 7.25,6.96,
Interpretation of the Music  0.80 7.25 7.25 6.50 6.50 6.75,7.25 7.00,7.50 7.50,7.07,
Judges Total Program Component Score (factored),,,27.58,
Deductions,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
10 Nicole SCHOTT GER  2  55.54,29.25,27.29,1.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 3T+3T  8.60  0.40 1 0 0 1 2,0 1,1 0,9.00,
2 FCSp4  3.20  0.50 1 1 1 1 2,0 1,1 1,3.70,
3 CCoSp4  3.50  0.43 2 1 1 1 1,0 1,1 0,3.93,
4 3Lo< <  3.96 x -2.10 -3 -3 -3 -3 -3,-3 -3,-3 -3,1.86,
5 StSq3  3.30  0.50 1 1 1 1 1,0 1,2 1,3.80,
6 2A  3.63 x  0.43 1 1 1 1 1,0 1,1 0,4.06,
7 LSp3  2.40  0.50 1 1 1 1 1,1 1,2 1,2.90,
28.59,,,29.25,
Program Components Factor,,,,
Skating Skills  0.80 7.00 7.25 6.75 6.50 6.25,6.75 6.75,7.75 7.00,6.86,
Transitions  0.80 6.75 7.00 6.00 6.25 6.00,6.75 6.50,7.50 6.50,6.54,
Performance  0.80 7.25 7.00 6.50 6.25 6.50,7.00 6.75,7.25 6.75,6.82,
Composition  0.80 7.25 7.25 6.25 6.50 6.75,6.75 7.00,7.75 6.75,6.89,
Interpretation of the Music  0.80 7.25 7.50 6.75 6.75 6.50,7.00 7.00,7.75 6.75,7.00,
Judges Total Program Component Score (factored),,,27.29,
Deductions Falls: -1.00(1),,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
11 Elizaveta TUKTAMYSHEVA RUS  7  53.03,24.91,29.12,1.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3A  8.50 -3.00 -3 -3 -3 -3 -3,-3 -3,-3 -3,5.50,
2 1Lz* *  0.00  0.00 - - - - -,- -,- -,0.00,
3 LSp3  2.40  0.50 1 0 1 1 0,2 1,1 2,2.90,
4 3T+2T  5.60  0.30 0 0 0 0 1,0 1,1 1,5.90,
5 StSq3  3.30  0.57 1 1 1 1 2,1 1,1 2,3.87,
6 FSSp4  3.00  0.17 0 -1 1 0 1,-1 1,0 2,3.17,
7 CCoSp4  3.50  0.07 0 0 1 0 0,0 0,1 0,3.57,
26.30,,,24.91,
Program Components Factor,,,,
Skating Skills  0.80 7.75 7.50 7.50 7.75 8.00,6.75 7.25,7.50 8.50,7.61,
Transitions  0.80 6.75 6.50 6.75 7.25 7.25,7.00 6.50,7.25 7.75,6.96,
Performance  0.80 7.50 7.00 7.00 7.25 7.50,6.75 6.75,6.75 7.75,7.11,
Composition  0.80 7.50 7.25 7.25 7.50 7.50,7.00 7.00,7.00 8.00,7.29,
Interpretation of the Music  0.80 7.75 7.25 7.25 7.75 8.00,6.75 6.75,7.50 7.75,7.43,
Judges Total Program Component Score (factored),,,29.12,
Deductions Falls: -1.00(1),,,-1.00,
"*  Invalid element",,,,
printed: 17/11/2017 16:34:10,,,,
