ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Transitions  1.00 7.50 8.25 8.25 7.75 7.25,,8.25 8.50,9.00 8.50,8.14,
Performance  1.00 8.00 8.50 8.50 8.00 7.75,,8.25 8.75,9.25 9.00,8.43,
Composition  1.00 8.75 8.00 8.75 8.25 7.50,,8.50 9.00,9.50 9.25,8.64,
Interpretation of the Music  1.00 8.75 8.50 8.75 8.25 7.75,,8.50 9.00,9.25 9.25,8.71,
Judges Total Program Component Score (factored),,,,42.28,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,
ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
7 Denis TEN KAZ  3  83.70,,42.56,42.14,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4S< <  8.10 -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,4.10,
2 3A  8.50  1.86 2 2 2 1 2,,1 2,2 2,10.36,
3 CCSp4  3.20  0.79 1 1 2 1 2,,1 2,2 2,3.99,
4 3F+3T  10.56 x  0.60 1 1 1 0 2,,0 1,1 1,11.16,
5 CCoSp4  3.50  0.93 2 2 2 1 1,,2 2,2 2,4.43,
6 StSq3  3.30  1.29 3 3 2 3 3,,3 2,2 2,4.59,
7 FSSp4  3.00  0.93 2 1 1 2 2,,2 2,2 2,3.93,
40.16,,,,42.56,
Program Components Factor,,,,,
Skating Skills  1.00 8.75 8.25 8.50 8.00 8.50,,8.00 9.00,8.75 8.50,8.46,
Transitions  1.00 8.00 8.00 8.00 7.50 8.50,,8.00 8.75,8.50 8.25,8.18,
Performance  1.00 8.00 8.50 8.00 7.75 8.75,,8.00 9.00,8.25 8.75,8.32,
Composition  1.00 9.00 8.25 8.50 8.25 8.75,,8.25 9.00,8.50 8.75,8.57,
Interpretation of the Music  1.00 8.50 8.50 8.75 8.00 8.75,,8.25 9.00,8.75 8.75,8.61,
Judges Total Program Component Score (factored),,,,42.14,
Deductions Falls: -1.00(1),,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
8 Max AARON USA  7  78.64,,41.54,38.10,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4T+3T  14.60 -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,10.60,
2 4S  10.50 -2.86 -2 -3 -2 -3 -2,,-2 -3,-2 -2,7.64,
3 FCSp3  2.80  0.36 1 1 0 1 1,,0 1,0 1,3.16,
4 3A  9.35 x  0.43 1 1 0 1 1,,0 0,0 0,9.78,
5 CSSp4  3.00 -0.04 0 -1 0 0 0,,1 -1,0 0,2.96,
