PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
5 Meeran TROMBLEY / Laureano IBARRA,USA,45.48  27.88,,,18.60,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw2  5.50  0.28,1 0 1 1,-1 0 1 1,,0,0 - -,5.78
2 3STh  4.50  0.00,0 0 -1 -1,0 0 0 0,,0,0 - -,4.50
3 2A<  0.80 -0.50,-3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,0.30
4 5ALi3  6.00  0.00,0 0 0 0,0 0 0 0,,0,0 - -,6.00
5 BiDs3  3.20 -0.28,0 0 -1 0,0 -1 0 0,,-1,-1 - -,2.92
6 FCCoSp2  2.50 -0.24,0 -1 -1 -1,-1 0 -1 -1,,0,-1 - -,2.26
7 SlSt1  1.80 -0.18,0 0 -1 -1,-1 -1 0 0,,-1,-1 - -,1.62
8 PCoSp4  4.50  0.00,0 0 0 0,0 0 0 0,,0,0 - -,4.50
28.80,,,,,,27.88
Program Components Factor,,,,,,
Skating Skills  0.80,5.00 4.75 4.50 5.75,5.50 4.25 4.50 4.25,,4.50,5.75 - -,4.80
Transition / Linking Footwork  0.80,4.75 4.50 4.00 5.00,5.00 4.00 3.75 4.00,,4.00,4.75 - -,4.40
Performance / Execution  0.80,4.25 4.50 4.25 5.25,4.75 4.75 5.00 4.25,,4.25,5.25 - -,4.50
Choreography / Composition  0.80,4.75 4.50 4.75 5.50,5.75 5.00 4.50 4.00,,4.25,5.50 - -,4.90
Interpretation  0.80,5.00 4.75 4.25 5.50,5.00 4.00 5.00 4.25,,4.00,5.25 - -,4.65
Judges Total Program Component Score (factored),,,,,,18.60
Deductions: Falls:,-1.00,,,,,-1.00
e  Jump take off with wrong edge,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
6 Stacey KEMP / David KING,GBR,44.74  27.26,,,17.48,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2LzTw3  4.00 -0.12,0 -1 0 -1,-2 -1 0 0,,0,0 - -,3.88
2 2F  1.70 -0.30,-2 -1 -1 0,-1 0 -2 -1,,-1,-1 - -,1.40
3 3LoTh  5.00 -1.40,-2 -1 -2 -2,-2 -2 -2 -2,,-2,-2 - -,3.60
4 BiDs2  3.00  0.00,0 0 0 0,0 0 0 0,,-1,0 - -,3.00
5 5ALi4  6.50  0.00,0 0 0 0,-2 0 0 0,,0,0 - -,6.50
6 FCCoSp3  3.00 -0.18,0 -1 0 -1,-1 -1 0 0,,0,-1 - -,2.82
7 CiSt1  1.80 -0.24,0 -1 -1 -1,-1 -1 -1 0,,-1,-1 - -,1.56
8 PCoSp4  4.50  0.00,0 0 0 -1,-1 0 0 0,,0,0 - -,4.50
29.50,,,,,,27.26
Program Components Factor,,,,,,
Skating Skills  0.80,4.25 4.25 3.75 5.00,4.50 5.00 4.00 4.00,,4.00,5.75 - -,4.40
Transition / Linking Footwork  0.80,4.00 3.75 3.75 4.25,4.50 4.25 3.50 4.00,,3.25,5.25 - -,4.10
Performance / Execution  0.80,4.25 4.00 4.25 4.75,4.00 5.00 3.75 4.25,,3.25,5.50 - -,4.35
Choreography / Composition  0.80,4.50 4.00 4.75 5.00,5.50 4.75 4.00 4.25,,3.50,5.50 - -,4.75
Interpretation  0.80,4.25 4.00 4.25 4.75,4.25 4.25 3.50 4.25,,3.00,5.25 - -,4.25
Judges Total Program Component Score (factored),,,,,,17.48
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
Skate America,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,=,+,,+,-
7 Laura MAGITTERI / Ondrej HOTAREK,ITA,38.76  20.80,,,17.96,0.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2LzTw2  3.50,0.20 0 1 0 0,-2 1 1,0,0,1 - -,3.70
2 2A  3.50,-1.60 -2 -2 -2 -2,-2 -2 -3,-2,-2,-2 - -,1.90
3 2LoTh  3.00,0.00 0 0 0 -1,0 0 1,0,0,0 - -,3.00
4 FCCoSp2  2.50,-0.42 -1 -1 -2 -1,-2 -2 -1,-1,-2,-1 - -,2.08
5 5ALi3  6.00,0.20 0 0 0 0,0 0 1,1,0,1 - -,6.20
6 SlSt1  1.80,-0.12 0 0 -1 -1,-1 -1 0,0,0,0 - -,1.68
7 BiDs1  2.80,-0.56 -1 0 -2 0,0 -2 0,0,-2,-1 - -,2.24
8 PCoSp  0.00,0.00 - - - -,- - -,-,-,- - -,0.00
23.10,,,,,,20.80
Program Components,Factor,,,,,
Skating Skills,0.80 4.75 4.50 4.00 5.25,5.00 4.25 5.50,4.50,4.75,5.75 - -,4.60
Transition / Linking Footwork,0.80 4.25 4.00 3.00 4.75,4.75 4.25 4.75,4.75,4.00,5.50 - -,4.40
Performance / Execution,0.80 4.00 4.25 3.75 5.25,4.25 4.00 5.50,5.00,4.25,5.75 - -,4.30
Choreography / Composition,0.80 4.25 4.50 4.25 5.25,5.50 4.50 5.75,5.25,4.25,6.00 - -,4.80
Interpretation,0.80 4.50 4.25 3.75 5.25,4.00 4.00 5.50,5.00,3.75,6.00 - -,4.35
Judges Total Program Component Score (factored),,,,,,17.96
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
Printed: 26/10/2007 22:42:53,,,,,,
