ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
Interpretation of the Music  0.80,7.75  7.25  6.75  7.75  8.00,8.00  8.75,7.75  7.50,7.71,
Judges Total Program Component Score (factored),,,,30.54,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
6 Yura MATSUDA,JPN  8  60.98,31.33,29.65,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 StSq3  3.30  0.57,1 1 1 1 2,1 2,1 1,3.87,
2 2A  3.30  0.79,1 2 0 1 2,2 2,2 1,4.09,
3 SSp4  2.50  0.57,2 1 0 1 1,1 2,1 1,3.07,
4 3Lo<+3Lo <  9.57 x -0.50,-1 0 -1 -1 -1,0 0,-2 -1,9.07,
5 FCSp4  3.20  0.36,1 1 0 1 1,0 1,1 0,3.56,
6 3F< <  4.07 x -0.40,-1 0 -1 -1 0,-1 0,-2 0,3.67,
7 CCoSp4  3.50  0.50,1 1 0 1 1,1 2,1 1,4.00,
29.44,,,,31.33,
Program Components Factor,,,,,
Skating Skills  0.80,7.25  7.25  7.25  7.75  7.75,7.25  9.00,7.75  7.50,7.50,
Transitions  0.80,7.00  7.00  6.75  7.50  7.50,7.00  8.75,7.50  7.00,7.21,
Performance  0.80,7.00  7.50  6.75  7.75  7.75,7.25  9.25,7.50  7.25,7.43,
Composition  0.80,6.75  7.25  7.00  7.75  7.75,7.50  9.50,7.75  7.25,7.46,
Interpretation of the Music  0.80,7.00  7.50  6.50  7.50  7.75,7.25  9.50,8.00  7.25,7.46,
Judges Total Program Component Score (factored),,,,29.65,
Deductions,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name Nation,Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
7 Karen CHEN USA,6  58.76,28.52,30.24,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2",J3 J4 J5,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 3Lz+3T< <  9.00 -0.40 -1 0,0 -1 -1,0 -1,-2 0,8.60,
2 CCoSp4  3.50  1.00 2 2,1 2 2,2 3,2 2,4.50,
3 FCSp3  2.80  0.57 1 1,1 1 1,1 2,2 1,3.37,
4 StSq3  3.30  0.50 1 1,0 2 1,1 1,1 1,3.80,
5 1Lo* *  0.00 x  0.00 - -,- - -,- -,- -,0.00,
6 2A  3.63 x  0.71 1 1,1 1 1,2 2,2 2,4.34,
7 LSp4  2.70  1.21 2 2,3 2 2,3 3,2 3,3.91,
24.93,,,,28.52,
Program Components Factor,,,,,
Skating Skills  0.80  7.75  7.25,6.25  7.75  7.75,7.50  8.75,7.25  8.00,7.61,
Transitions  0.80  7.50  7.00,6.50  7.50  7.25,7.25  9.00,7.00  7.50,7.29,
Performance  0.80  7.50  7.50,6.50  7.50  7.50,7.50  9.25,7.25  8.25,7.57,
Composition  0.80  7.50  7.75,6.75  7.50  7.50,7.75  9.50,7.25  8.00,7.61,
Interpretation of the Music  0.80  7.75  7.50,6.75  7.75  7.75,7.50  9.50,7.50  8.25,7.71,
Judges Total Program Component Score (factored),,,,30.24,
Deductions,,,,0.00,
"<  Under-rotated jump*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",Starting Total,Total,Total,Total,
Rank Name Nation,Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
8 Alaine CHARTRAND CAN,1  58.72,29.44,29.28,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2",J3 J4 J5,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3Lz  6.00 -1.80 -2 -3,-3 -3 -2,-3 -3,-2 -2,4.20,
2 FSSp2  2.30  0.43 1 1,0 1 1,1 1,0 1,2.73,
3 LSp4  2.70  0.01 1 0,1 -1 1,-1 -1,-1 0,2.71,
4 3Lo+2T  7.04 x  0.00 0 1,0 0 0,0 -1,0 0,7.04,
