ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
2 3A  8.50  2.00,2 2 2 1 2,,2 2,2 3,10.50,
3 FSSp4  3.00  0.79,2 2 2 1 2,,-1 1,1 2,3.79,
4 3Lz+2T  8.03 x  0.80,1 1 1 2 2,,1 1,1 1,8.83,
5 StSq3  3.30  0.64,1 2 1 1 2,,1 1,1 2,3.94,
6 CCSp4  3.20  0.93,2 2 2 2 1,,1 2,2 2,4.13,
7 CCoSp4  3.50  0.64,2 2 1 1 1,,1 1,1 2,4.14,
33.83,,,,,37.63,
Program Components Factor,,,,,,
Skating Skills  1.00,8.50  8.50  8.00  8.00  8.50,,8.00  7.75,8.25  8.25,8.21,
Transitions  1.00,8.25  8.25  7.75  7.50  8.00,,8.00  7.75,8.00  8.00,7.96,
Performance  1.00,8.00  8.25  8.25  7.75  7.75,,7.75  7.75,8.00  8.25,7.96,
Composition  1.00,8.25  8.25  8.25  7.75  8.50,,7.75  8.25,8.25  8.50,8.21,
Interpretation of the Music  1.00,8.25  8.00  8.50  7.75  8.50,,7.50  8.25,8.50  8.25,8.21,
Judges Total Program Component Score (factored),,,,,40.55,
Deductions,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
5 Elladj BALDE,CAN  8  76.29,,38.18,38.11,0.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,IJn8f o J9 Ref,,Info
Elements Value,,,,,Panel,
1 3F  5.30  0.40,1 0 1 2 0,,0 1,-2 1,5.70,
2 3A  8.50 -0.43,0 0 -1 1 -1,,-1 1,-1 -1,8.07,
3 3Lz+3T  10.30  0.50,1 0 1 2 0,,0 1,1 1,10.80,
4 FUSp4  2.90  0.14,1 0 0 0 0,,0 1,0 1,3.04,
5 StSq3  3.30  0.79,1 1 1 2 2,,1 2,2 3,4.09,
6 CSSp2  2.30  0.04,-1 -1 1 1 -1,,-1 1,1 -1,2.34,
7 CCoSp4  3.50  0.64,1 1 2 2 1,,1 0,2 1,4.14,
36.10,,,,,38.18,
Program Components Factor,,,,,,
Skating Skills  1.00,7.75  7.50  8.00  7.25  7.00,,7.25  7.75,8.00  7.50,7.57,
Transitions  1.00,7.25  6.75  7.75  7.50  7.75,,7.25  6.75,7.50  7.50,7.36,
Performance  1.00,7.50  7.00  8.25  7.75  7.50,,7.25  8.00,8.00  7.75,7.68,
Composition  1.00,7.50  7.25  8.00  7.75  7.75,,7.25  7.25,8.00  7.75,7.61,
Interpretation of the Music  1.00,7.75  7.00  8.50  8.00  8.00,,7.25  8.25,8.00  8.00,7.89,
Judges Total Program Component Score (factored),,,,,38.11,
Deductions,,,,,0.00,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
6 Nam NGUYEN,CAN  11  75.33,,40.04,36.29,1.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,J8 J9 Ref,,
Elements Value,,,,,Panel,
1 4S+3T  14.80  0.00,0 -1 0 1 0,,0 0,0 0,14.80,
2 3A  8.50  0.00,0 0 1 0 0,,0 0,0 0,8.50,
3 FCSp2  2.30  0.00,0 0 0 1 0,,0 0,0 0,2.30,
4 3Lz  6.60 x -2.10,-3 -3 -3 -3 -3,,-3 -3,-3 -3,4.50,
5 StSq3  3.30  0.43,0 1 1 0 1,,1 1,1 1,3.73,
6 CSSp4  3.00  0.00,0 0 0 1 0,,0 -1,0 0,3.00,
