PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
13 SlSt3  3.10  0.20,0 1 0,0,0 1 0 1,,0 1 - -,3.30
14 PSp1*  0.00  0.00,- - -,-,- - - -,,- - - -,0.00
43.39,,,,,,43.91
Program Components Factor,,,,,,
Skating Skills  1.60,7.25 7.25 7.25,7.00,7.00 7.25 7.00 7.25,,7.25 7.25 - -,7.25
Transition / Linking Footwork  1.60,6.75 6.75 7.00,6.75,6.50 6.75 6.50 6.75,,7.00 6.75 - -,6.80
Performance / Execution  1.60,5.50 6.75 7.00,7.00,7.00 7.00 6.75 7.00,,7.00 6.75 - -,6.95
Choreography / Composition  1.60,6.25 7.00 7.00,7.00,7.00 7.00 7.00 7.25,,7.25 7.25 - -,7.05
Interpretation  1.60,6.00 7.00 7.25,7.00,7.00 7.25 6.75 6.75,,7.50 7.00 - -,7.05
Judges Total Program Component Score (factored),,,,,,56.16
Deductions: Falls:,-2.00,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Printed: 16/12/2006 19:40:12,,,,,,
