ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Skating Skills  0.80  5.75  6.50  6.75  6.25  6.25  6.50  5.75,,6.50  6.00,6.25,
Transitions  0.80  5.50  6.25  6.50  6.00  6.00  6.25  6.00,,6.25  6.00,6.11,
Performance  0.80  5.75  6.50  6.75  6.00  5.75  6.50  5.75,,6.25  5.75,6.07,
Composition  0.80  5.75  6.25  6.50  6.25  6.00  6.50  6.50,,6.75  6.00,6.29,
Interpretation of the Music  0.80  5.50  6.00  6.75  5.75  6.00  6.25  6.25,,6.25  6.25,6.11,
Judges Total Program Component Score (factored),,,24.67,
Deductions,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
9 Mirai NAGASU USA  4  53.19  24.85,,29.34,1.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info J6 J7",,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3F+COMBO !  5.30 -2.10 -3 -3 -3 -3 -3 -3 -3,,-3 -3,3.20,
2 FCSp4  3.20  0.57 1 2 1 1 1 2 1,,1 1,3.77,
3 CCoSp3  3.00  1.00 3 2 2 2 1 2 2,,1 3,4.00,
4 3Lo< <  3.96 x -2.00 -2 -3 -3 -3 -2 -3 -3,,-3 -3,1.96,
5 2A  3.63 x  0.79 2 2 1 1 0 2 2,,1 2,4.42,
6 StSq3  3.30  0.50 1 1 1 1 1 1 1,,1 2,3.80,
7 LSp4  2.70  1.00 2 2 2 2 2 2 2,,2 2,3.70,
25.09,,,24.85,
Program Components Factor,,,,
Skating Skills  0.80  7.50  7.50  7.50  7.50  7.00  7.75  7.50,,7.00  7.75,7.46,
Transitions  0.80  7.00  7.25  7.25  6.75  7.25  7.50  6.75,,6.75  8.00,7.11,
Performance  0.80  7.00  7.25  7.25  6.75  7.25  7.50  7.00,,6.75  7.50,7.14,
Composition  0.80  7.50  7.50  7.50  6.75  7.50  7.50  7.25,,7.50  8.25,7.46,
