ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
5 FCoSp3  2.50  0.64 2 1,1,1 1 1 1,,2 2,3.14,
6 1A  1.21 x -0.06 0 0,0,-2 0 -1 -1,,1 0,1.15,
7 3S+2A+SEQ  6.60 x  0.50 1 0,1,0 1 1 0,,1 1,7.10,
8 CSSp4  3.00  0.21 0 0,1,0 1 0 0,,1 2,3.21,
9 3Lz+3T  11.11 x  0.80 1 1,1,2 1 1 1,,2 1,11.91,
10 2F e  1.98 x -0.30 -2 -1,-1,-1 -1 -1 -1,,-1 -1,1.68,
11 ChSt1  2.00  0.80 1 1,2,1 1 1 1,,2 1,2.80,
12 3Lo  5.61 x -2.10 -3 -2,-3,-3 -3 -3 -3,,-3 -3,3.51,
13 CCoSp4  3.50  0.29 1 0,1,1 0 0 0,,1 2,3.79,
65.61,,,,,64.44,
Program Components Factor,,,,,,
Skating Skills  2.00 7.25 7.25,6.75,6.75 6.75 6.75 7.00,,6.75 6.75,6.86,
Transition / Linking Footwork  2.00 7.00 6.75,6.50,7.00 6.50 7.25 6.00,,6.50 6.50,6.68,
Performance / Execution  2.00 7.25 7.00,6.75,6.50 6.75 6.75 7.00,,7.00 6.75,6.86,
Choreography / Composition  2.00 7.50 7.00,7.00,6.75 6.50 7.25 6.75,,7.00 7.25,7.00,
Interpretation  2.00 7.50 7.25,7.25,6.50 6.75 7.00 6.75,,7.00 7.00,7.00,
Judges Total Program Component Score (factored),,,,,68.80,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
7 Denis TEN KAZ,5,130.60  64.38,,67.22,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  7.20 -1.71 -1 -3,-1,-2 -2 -2 -2,,-1 -2,5.49,
2 3A  8.50  1.00 1 1,1,2 1 1 1,,1 1,9.50,
3 3Lz+3T  10.10  0.30 0 0,0,1 0 0 1,,1 1,10.40,
4 CiSt4  3.90  1.10 1 1,2,2 0 2 2,,1 2,5.00,
"",,Info,,,,Info
5 FSSp4  3.00  0.79 1 2,2,2 1 1 3,,1 2,3.79,
6 2A+2T+2T  6.49 x  0.00 0 0,0,0 0 0 0,,0 0,6.49,
7 3F  5.83 x -2.10 -3 -3,-3,-2 -3 -3 -3,,-3 -3,3.73,
8 2Lz  2.31 x  0.00 0 -1,0,1 0 0 0,,0 0,2.31,
9 3Lo  5.61 x  0.00 0 0,0,0 0 0 -1,,0 0,5.61,
10 CCSp3  2.80  0.03 0 0,2,0 0 -1 1,,0 -1,2.83,
11 3S  4.62 x -1.40 -2 -2,-2,-2 -2 -2 -1,,-2 -2,3.22,
12 ChSt1  2.00  0.80 1 1,2,1 0 0 2,,1 2,2.80,
13 CCoSp3  3.00  0.21 1 1,1,0 0 0 0,,1 0,3.21,
65.36,,,,,64.38,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 6.75,7.00,6.50 6.25 7.25 7.00,,7.00 7.00,6.93,
Transition / Linking Footwork  2.00 7.25 6.00,6.75,6.25 6.00 6.50 7.00,,6.25 6.75,6.50,
Performance / Execution  2.00 7.75 6.25,7.00,6.25 5.75 6.50 7.50,,6.75 7.25,6.79,
Choreography / Composition  2.00 7.25 6.25,7.25,6.25 6.00 6.50 7.25,,6.50 6.50,6.64,
Interpretation  2.00 7.50 6.50,7.00,6.50 5.75 6.75 7.50,,6.25 6.75,6.75,
Judges Total Program Component Score (factored),,,,,67.22,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
8 Florent AMODIO FRA,3,125.14  56.86,,68.28,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3S  4.20  0.20 0 1,0,1 2 0 0,,0 0,4.40,
2 3A  8.50  1.00 1 1,1,1 2 1 1,,1 1,9.50,
3 FSSp4  3.00  0.43 1 1,1,1 1 1 0,,0 1,3.43,
4 CiSt3  3.30  0.86 2 2,1,2 2 1 2,,1 2,4.16,
5 3Lo  5.61 x -0.30 0 0,0,0 -1 0 -1,,-1 -1,5.31,
6 2A  3.63 x -0.29 -1 -1,0,0 0 -1 0,,-1 -2,3.34,
7 3Lz+1Lo+3T+SEQ  8.89 x -0.10 1 -2,0,0 -1 1 -1,,0 0,8.79,
8 CSp1  1.40 -0.13 -1 1,0,0 0 0 -1,,-1 -1,1.27,
9 3A+SEQ  7.48 x -1.29 -1 -1,-1,-1 -1 -2 -1,,-2 -2,6.19,
10 2F e  1.98 x -0.30 -2 -1,-1,0 -1 -1 -1,,-1 -1,1.68,
11 2A  3.63 x  0.00 0 0,-1,0 0 0 0,,0 0,3.63,
12 ChSt1  2.00  1.10 2 1,0,1 2 2 2,,1 2,3.10,
13 CCoSp1  2.00  0.06 -1 1,-1,1 1 0 0,,-1 0,2.06,
55.62,,,,,56.86,
Program Components Factor,,,,,,
Skating Skills  2.00 6.75 6.75,7.25,7.50 6.75 6.75 7.25,,6.75 6.75,6.89,
Transition / Linking Footwork  2.00 6.75 6.50,7.00,6.50 5.75 6.25 6.50,,6.50 6.00,6.43,
Performance / Execution  2.00 7.50 6.75,6.50,6.75 7.25 6.00 6.50,,7.25 6.25,6.75,
Choreography / Composition  2.00 7.00 7.00,6.75,7.25 6.75 7.50 7.25,,7.00 6.50,7.00,
Interpretation  2.00 7.75 7.25,7.25,7.00 6.75 7.00 6.75,,7.50 6.50,7.07,
Judges Total Program Component Score (factored),,,,,68.28,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,,Total Total,,Total,Total,
