ISU World Figure Skating Championships 2008,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Jeffrey BUTTLE CAN,,163.07  84.29,,78.78,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
Choreography / Composition  2.00 6.75 6.75 7.25,6.75,6.25 7.00 6.00 6.50,7.00,6.50 6.75 7.25,,6.79,
Interpretation  2.00 7.25 7.00 7.25,7.00,6.25 7.00 6.50 6.50,7.00,6.50 6.75 7.00,,6.89,
Judges Total Program Component Score (factored),,,,,,67.50,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU World Figure Skating Championships 2008,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
5 Johnny WEIR USA,,141.05  67.21,73.84,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T<  4.00 -2.43 -3 -2 -1,-3,-3 -1 -2 -2,-2 -3 -2 -3,,1.57,
2 3A  7.50  0.43 1 0 0,0,1 0 0 Info1,-1 1 1 0,,7.93,Info
3 3Lz  6.00  1.00 1 1 1,1,2 1 1 2,0 1 1 1,,7.00,
4 3A+2T  8.80  0.00 0 0 -1,0,2 0 0 0,0 1 0 0,,8.80,
5 3S  4.50  0.86 1 1 1,0,1 1 1 2,1 1 0 1,,5.36,
6 CoSp4  3.00  0.07 0 0 0,0,0 0 1 0,0 1 1 0,,3.07,
7 3Lo  5.50 x -0.43 0 0 -1,0,0 -1 0 -1,-1 0 -1 0,,5.07,
8 FCoSp3  2.50  0.50 1 1 0,1,0 1 1 0,1 2 1 1,,3.00,
9 3Lz+2T  8.03 x -0.71 0 -1 0,-1,0 -1 0 -1,0 -1 -1 0,,7.32,
10 3F e  6.05 x -1.29 0 -1 -1,-1,-1 -1 -1 -2,-2 -1 -2 -1,,4.76,
11 CiSt2  2.30  0.43 0 1 1,1,1 1 1 1,0 1 1 1,,2.73,
12 FSSp4  3.00  0.43 1 1 1,1,1 1 1 0,0 1 1 2,,3.43,
13 SlSt3  3.10  0.57 2 1 1,1,1 1 1 2,0 1 1 1,,3.67,
14 CCoSp3  3.00  0.50 1 1 1,1,1 1 1 1,1 2 1 1,,3.50,
67.28,,,,,67.21,
Program Components Factor,,,,,,
