ISU GP Cup of Russia,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Program Components Factor,,,,,,,
Skating Skills  0.80 4.75 6.00 4.50 4.50,,4.75 5.50 4.50 4.50,,5.25,- - -,4.90,
Transition / Linking Footwork  0.80 4.00 5.50 4.25 4.25,,4.50 4.25 4.25 4.25,,4.25,- - -,4.30,
Performance / Execution  0.80 4.50 6.00 4.25 5.00,,4.50 5.25 4.50 4.50,,5.25,- - -,4.90,
Choreography / Composition  0.80 4.75 5.75 4.50 4.75,,4.50 5.00 4.50 4.25,,5.25,- - -,4.80,
Interpretation  0.80 4.50 5.50 4.25 5.00,,4.50 5.00 4.50 4.50,,5.50,- - -,4.90,
Judges Total Program Component Score (factored),,,,,,19.04,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
ISU GP Cup of Russia,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
7 Amanda VELENOSI / Mark FERNANDEZ CAN,,35.56  19.84,,,17.72,2.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw3  4.00  0.20 0 1 0,0,1 0 1 0,,0,- - -,4.20,
2 1T  0.40 -0.30 -3 -3 -3,-3,-3 -3 -3 In-f3o,,-3,- - -,0.10,Info
3 FCCoSp3  3.00 -0.12 1 1 0,-1,0 -2 0 0,,-1,- - -,2.88,
4 SpSq3  3.10  0.10 0 0 0,0,1 1 0 0,,0,- - -,3.20,
5 3TTh  4.50 -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3,- - -,2.50,
6 PCoSp4  4.50 -0.06 -1 0 0,-1,0 1 0 -1,,0,- - -,4.44,
7 3Li  0.00  0.00 - - -,-,- - - -,,-,- - -,0.00,
8 FiDs1  2.80 -0.28 -2 1 -1,-1,0 -1 -1 0,,0,- - -,2.52,
22.30,,,,,,19.84,
Program Components Factor,,,,,,,
Skating Skills  0.80 4.75 6.00 4.50 4.25,,4.00 5.50 4.25 4.50,,5.00,- - -,4.70,
Transition / Linking Footwork  0.80 4.00 4.75 4.00 4.00,,3.50 4.75 4.00 4.25,,4.25,- - -,4.25,
Performance / Execution  0.80 4.00 5.50 3.50 3.50,,3.75 5.00 3.75 4.25,,4.50,- - -,4.25,
Choreography / Composition  0.80 4.25 5.50 4.25 3.75,,4.00 5.25 4.00 4.50,,4.75,- - -,4.50,
Interpretation  0.80 4.25 5.50 4.25 4.00,,3.75 5.25 4.25 4.25,,4.50,- - -,4.45,
Judges Total Program Component Score (factored),,,,,,17.72,
Deductions: Falls: -2.00,,,,,,-2.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
8 Ekaterina SOKOLOVA / Fedor SOKOLOV ISR,,31.06  17.42,,,15.64,2.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw1  5.00 -0.28 0 1 -1,-1,0 0 0 -1,,-1,- - -,4.72,
2 2S  1.30 -0.92 -2 -3 -3,-2,-3 -2 -3 -3,,-3,- - -,0.38,
3 3STh  4.50 -1.40 -1 -2 -2,-2,-2 -2 -2 -2,,-2,- - -,3.10,
4 3Li3  3.50 -0.10 0 0 0,0,0 0 0 -1,,-2,- - -,3.40,
5 FCCoSp1  2.00 -0.24 0 -2 -1,-1,-1 0 0 -1,,-1,- - -,1.76,
6 SpSq1  1.80 -0.12 -1 0 0,-1,0 0 -1 0,,-1,- - -,1.68,
7 FiDs1  2.80 -0.42 0 0 0,-1,0 -2 0 -1,,-1,- - -,2.38,
8 PCoSp  0.00  0.00 - - -,-,- - - -,,-,- - -,0.00,
20.90,,,,,,17.42,
Program Components Factor,,,,,,,
Skating Skills  0.80 4.25 5.25 3.75 4.00,,4.00 4.00 4.25 4.00,,4.50,- - -,4.15,
Transition / Linking Footwork  0.80 3.75 4.00 3.50 3.50,,3.75 3.00 4.00 3.75,,3.75,- - -,3.75,
Performance / Execution  0.80 4.00 5.50 3.25 3.50,,3.75 3.25 4.00 3.50,,4.00,- - -,3.75,
Choreography / Composition  0.80 4.00 4.50 3.75 3.75,,4.00 3.50 4.25 3.75,,4.50,- - -,4.05,
Interpretation  0.80 3.75 5.00 3.50 3.50,,4.00 3.50 4.25 3.50,,4.00,- - -,3.85,
Judges Total Program Component Score (factored),,,,,,15.64,
Deductions: Time violation: -1.00,,Falls: -1.00,,,,-2.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
Printed: 21/11/2008 20:16:33,,,,,,,
